forecast_date,target_end_date,target,location,type,quantile,value
2021-11-01,2021-11-06,1 wk ahead inc case,PL,point,NA,79682
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.01,68550
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.025,68910
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.05,69011
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.1,69336
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.15,69761
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.2,70210
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.25,70754
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.3,78598
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.35,79112
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.4,80047
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.45,80637
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.5,81239
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.55,81793
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.6,82102
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.65,82383
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.7,82928
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.75,83233
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.8,83705
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.85,84014
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.9,84755
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.95,86259
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.975,101403
2021-11-01,2021-11-06,1 wk ahead inc case,PL,quantile,0.99,102750
2021-11-01,2021-11-13,2 wk ahead inc case,PL,point,NA,116917
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.01,95402
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.025,95847
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.05,96200
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.1,96694
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.15,97233
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.2,97781
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.25,99647
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.3,117678
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.35,118409
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.4,119187
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.45,119983
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.5,120375
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.55,120923
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.6,121434
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.65,121724
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.7,122280
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.75,122769
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.8,123282
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.85,123847
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.9,124771
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.95,126173
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.975,159819
2021-11-01,2021-11-13,2 wk ahead inc case,PL,quantile,0.99,161131
2021-11-01,2021-11-20,3 wk ahead inc case,PL,point,NA,158695
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.01,123893
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.025,124153
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.05,124455
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.1,125130
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.15,126023
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.2,129510
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.25,131033
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.3,160949
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.35,161773
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.4,162547
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.45,163093
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.5,163588
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.55,164024
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.6,164582
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.65,165679
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.7,166590
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.75,167412
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.8,169073
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.85,170585
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.9,172137
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.95,174735
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.975,230808
2021-11-01,2021-11-20,3 wk ahead inc case,PL,quantile,0.99,232764
2021-11-01,2021-11-27,4 wk ahead inc case,PL,point,NA,194396
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.01,146513
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.025,146881
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.05,147252
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.1,147810
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.15,148506
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.2,160592
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.25,162366
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.3,192675
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.35,193101
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.4,193396
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.45,193633
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.5,194150
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.55,194830
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.6,207846
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.65,209649
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.7,210960
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.75,212013
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.8,213042
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.85,214057
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.9,215454
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.95,217460
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.975,297021
2021-11-01,2021-11-27,4 wk ahead inc case,PL,quantile,0.99,299244
2021-11-01,2021-11-06,1 wk ahead inc death,PL,point,NA,777
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.01,603
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.025,614
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.05,632
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.1,663
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.15,676
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.2,687
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.25,700
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.3,710
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.35,717
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.4,732
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.45,752
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.5,777
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.55,802
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.6,823
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.65,849
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.7,887
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.75,919
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.8,939
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.85,948
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.9,961
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.95,984
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.975,995
2021-11-01,2021-11-06,1 wk ahead inc death,PL,quantile,0.99,1007
2021-11-01,2021-11-13,2 wk ahead inc death,PL,point,NA,1112
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.01,849
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.025,860
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.05,879
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.1,984
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.15,1018
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.2,1038
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.25,1049
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.3,1061
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.35,1075
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.4,1085
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.45,1094
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.5,1112
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.55,1128
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.6,1148
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.65,1180
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.7,1320
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.75,1338
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.8,1354
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.85,1370
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.9,1389
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.95,1405
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.975,1433
2021-11-01,2021-11-13,2 wk ahead inc death,PL,quantile,0.99,1446
2021-11-01,2021-11-20,3 wk ahead inc death,PL,point,NA,1498
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.01,1115
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.025,1140
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.05,1175
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.1,1392
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.15,1420
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.2,1436
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.25,1447
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.3,1453
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.35,1461
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.4,1472
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.45,1479
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.5,1498
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.55,1512
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.6,1533
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.65,1605
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.7,1772
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.75,1797
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.8,1813
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.85,1840
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.9,1858
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.95,1889
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.975,1909
2021-11-01,2021-11-20,3 wk ahead inc death,PL,quantile,0.99,1924
2021-11-01,2021-11-27,4 wk ahead inc death,PL,point,NA,1888
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.01,1390
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.025,1431
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.05,1453
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.1,1698
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.15,1731
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.2,1758
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.25,1785
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.3,1807
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.35,1829
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.4,1852
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.45,1873
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.5,1888
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.55,1910
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.6,1948
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.65,2105
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.7,2161
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.75,2197
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.8,2214
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.85,2230
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.9,2254
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.95,2283
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.975,2295
2021-11-01,2021-11-27,4 wk ahead inc death,PL,quantile,0.99,2313
