forecast_date,target_end_date,target,location,type,quantile,value,scenario_id
2021-12-13,2021-12-18,1 wk ahead inc case,PL,point,,147058,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.01,117165,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.025,117724,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.05,118112,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.1,119046,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.15,120148,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.2,120960,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.25,122129,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.3,122846,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.35,123698,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.4,124555,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.45,125274,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.5,127145,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.55,156088,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.6,156940,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.65,158053,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.7,173797,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.75,174948,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.8,175951,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.85,184202,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.9,185180,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.95,185863,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.975,186493,forecast
2021-12-13,2021-12-18,1 wk ahead inc case,PL,quantile,0.99,187113,forecast
2021-12-13,2021-12-25,2 wk ahead inc case,PL,point,,120589,forecast
2021-12-13,2021-12-25,2 wk ahead inc case,PL,quantile,0.01,87710,forecast
2021-12-13,2021-12-25,2 wk ahead inc case,PL,quantile,0.025,88305,forecast
