forecast_date,target_end_date,target,location,type,quantile,location_name,value
2022-01-03,2022-01-08,1 wk ahead cum case,PL,point,NA,Poland,4187960
2022-01-03,2022-01-08,1 wk ahead inc case,PL,point,NA,Poland,67712
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.01,Poland,4154088
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.025,Poland,4156163
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.05,Poland,4156618
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.1,Poland,4160129
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.15,Poland,4174595
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.2,Poland,4184530
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.25,Poland,4187455
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.3,Poland,4188335
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.35,Poland,4189443
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.4,Poland,4189869
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.45,Poland,4191049
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.5,Poland,4191706
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.55,Poland,4192385
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.6,Poland,4192779
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.65,Poland,4193074
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.7,Poland,4193620
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.75,Poland,4193930
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.8,Poland,4194610
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.85,Poland,4195556
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.9,Poland,4196264
2022-01-03,2022-01-08,1 wk ahead cum case,PL,quantile,0.95,Poland,4197096
