forecast_date,target_end_date,target,location,type,quantile,scenario_id,value
2022-12-12,2022-12-17,1 wk ahead inc case,PL,point,NA,forecast,4461
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.01,forecast,513
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.025,forecast,697
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.05,forecast,956
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.1,forecast,1319
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.15,forecast,1545
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.2,forecast,1965
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.25,forecast,2294
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.3,forecast,2720
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.35,forecast,3002
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.4,forecast,3365
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.45,forecast,3659
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.5,forecast,4000
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.55,forecast,4433
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.6,forecast,4910
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.65,forecast,5365
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.7,forecast,5894
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.75,forecast,6454
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.8,forecast,6933
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.85,forecast,7516
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.9,forecast,8314
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.95,forecast,9300
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.975,forecast,9682
2022-12-12,2022-12-17,1 wk ahead inc case,PL,quantile,0.99,forecast,9932
2022-12-12,2022-12-24,2 wk ahead inc case,PL,point,NA,forecast,7609
2022-12-12,2022-12-24,2 wk ahead inc case,PL,quantile,0.01,forecast,918
2022-12-12,2022-12-24,2 wk ahead inc case,PL,quantile,0.025,forecast,1262
2022-12-12,2022-12-24,2 wk ahead inc case,PL,quantile,0.05,forecast,1701
2022-12-12,2022-12-24,2 wk ahead inc case,PL,quantile,0.1,forecast,2337
2022-12-12,2022-12-24,2 wk ahead inc case,PL,quantile,0.15,forecast,2777
