location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,,24623,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.01,10031,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.025,14327,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.05,16685,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.1,17960,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.15,19168,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.2,20471,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.25,22038,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.3,22859,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.35,23194,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.4,23690,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.45,24276,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.5,24623,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.55,25313,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.6,25918,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.65,26247,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.7,26517,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.75,27122,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.8,28851,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.85,30310,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.9,31102,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.95,37008,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
AT,quantile,0.975,39879,2023-01-07,2023-01-02,1 wk ahead inc case,forecast
