location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,,120,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.01,103,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.025,103,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.05,103,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.1,103,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.15,103,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.2,106,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.25,106,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.3,109,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.35,113,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.4,113,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.45,119,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.5,120,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.55,120,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.6,122,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.65,122,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.7,123,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.75,124,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.8,124,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.85,127,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.9,127,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.95,141,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.975,141,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.99,141,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,point,,81,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.01,59,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
