location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,,10473,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.01,3854,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.025,4682,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.05,5458,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.1,6426,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.15,7124,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.2,7705,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.25,8221,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.3,8698,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.35,9153,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.4,9595,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.45,10033,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.5,10473,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.55,10923,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.6,11390,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.65,11882,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.7,12413,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.75,12998,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.8,13666,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.85,14466,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.9,15504,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.95,17109,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.975,18565,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,quantile,0.99,20333,2022-01-01,2021-12-27,1 wk ahead inc case,forecast
AT,point,,139,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.01,87,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.025,95,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.05,101,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.1,109,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.15,114,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.2,119,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.25,123,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.3,126,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.35,129,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.4,133,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.45,136,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.5,139,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.55,142,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.6,145,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.65,148,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.7,152,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.75,156,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.8,160,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.85,165,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.9,172,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.95,182,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.975,191,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,quantile,0.99,202,2022-01-01,2021-12-27,1 wk ahead inc death,forecast
AT,point,,7546,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.01,378,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.025,903,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.05,1536,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.1,2472,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.15,3229,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.2,3903,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.25,4531,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.3,5136,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.35,5730,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.4,6324,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.45,6926,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.5,7546,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.55,8192,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.6,8876,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.65,9611,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.7,10418,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.75,11325,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.8,12380,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.85,13669,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.9,15380,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.95,18104,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.975,20645,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,quantile,0.99,23810,2022-01-08,2021-12-27,2 wk ahead inc case,forecast
AT,point,,99,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.01,49,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.025,56,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.05,62,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.1,69,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.15,75,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.2,79,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.25,83,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.3,86,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.35,90,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.4,93,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.45,96,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.5,99,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
AT,quantile,0.55,102,2022-01-08,2021-12-27,2 wk ahead inc death,forecast
