forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.01,3563
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.025,4815
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.05,5891
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.1,7133
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.15,7970
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.2,8636
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.25,9207
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.3,9720
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.35,10195
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.4,10646
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.45,11082
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.5,11512
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.55,11941
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.6,12377
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.65,12828
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.7,13304
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.75,13816
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.8,14387
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.85,15053
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.9,15891
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.95,17132
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.975,18209
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,quantile,0.99,19461
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.01,2799
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.025,3782
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.05,4628
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.1,5604
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.15,6261
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.2,6784
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.25,7233
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.3,7636
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.35,8009
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.4,8364
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.45,8706
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.5,9044
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.55,9381
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.6,9724
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.65,10078
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.7,10451
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.75,10854
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.8,11303
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.85,11826
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.9,12484
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.95,13459
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.975,14305
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,quantile,0.99,15288
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.01,2117
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.025,2860
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.05,3500
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.1,4237
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.15,4735
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.2,5131
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.25,5470
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.3,5774
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.35,6057
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.4,6325
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.45,6584
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.5,6839
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.55,7094
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.6,7353
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.65,7621
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.7,7903
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.75,8208
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.8,8547
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.85,8943
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.9,9440
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.95,10178
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.975,10818
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,quantile,0.99,11561
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.01,1557
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.025,2104
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.05,2574
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.1,3117
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.15,3483
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.2,3774
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.25,4023
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.3,4247
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.35,4455
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.4,4652
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.45,4843
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.5,5030
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.55,5218
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.6,5409
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.65,5606
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.7,5813
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.75,6038
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.8,6287
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.85,6578
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.9,6944
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.95,7486
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.975,7957
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,quantile,0.99,8504
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,CZ,point,NA,11512
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,CZ,point,NA,9044
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,CZ,point,NA,6839
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,CZ,point,NA,5030
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.01,160
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.025,197
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.05,229
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.1,266
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.15,291
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.2,310
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.25,327
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.3,343
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.35,357
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.4,370
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.45,383
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.5,396
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.55,409
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.6,422
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.65,435
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.7,449
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.75,464
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.8,481
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.85,501
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.9,526
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.95,563
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.975,595
2021-04-26,forecast,1 wk ahead inc death,2021-05-01,CZ,quantile,0.99,632
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.01,115
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.025,149
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.05,178
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.1,212
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.15,234
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.2,253
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.25,268
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.3,282
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.35,295
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.4,307
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.45,319
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.5,331
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.55,342
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.6,354
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.65,366
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.7,379
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.75,393
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.8,409
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.85,427
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.9,450
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.95,483
2021-04-26,forecast,2 wk ahead inc death,2021-05-08,CZ,quantile,0.975,512
