"forecast_date","scenario_id","target","target_end_date","location","type","quantile","value"
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.01,665
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.025,825
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.05,963
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.1,1122
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.15,1229
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.2,1314
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.25,1387
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.3,1452
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.35,1513
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.4,1571
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.45,1627
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.5,1682
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.55,1736
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.6,1792
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.65,1850
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.7,1911
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.75,1976
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.8,2049
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.85,2134
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.9,2241
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.95,2400
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.975,2538
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","quantile",0.99,2698
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.01,734
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.025,911
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.05,1063
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.1,1238
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.15,1356
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.2,1450
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.25,1530
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.3,1603
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.35,1670
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.4,1733
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.45,1795
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.5,1855
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.55,1916
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.6,1978
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.65,2041
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.7,2108
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.75,2181
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.8,2261
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.85,2355
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.9,2473
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.95,2648
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.975,2800
"2021-08-16","forecast","2 wk ahead inc case","2021-08-28","CZ","quantile",0.99,2977
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.01,817
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.025,1014
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.05,1183
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.1,1378
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.15,1510
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.2,1614
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.25,1704
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.3,1785
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.35,1859
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.4,1930
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.45,1999
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.5,2066
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.55,2134
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.6,2202
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.65,2273
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.7,2348
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.75,2428
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.8,2518
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.85,2623
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.9,2754
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.95,2949
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.975,3118
"2021-08-16","forecast","3 wk ahead inc case","2021-09-04","CZ","quantile",0.99,3315
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.01,917
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.025,1137
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.05,1327
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.1,1545
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.15,1693
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.2,1810
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.25,1911
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.3,2001
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.35,2085
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.4,2164
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.45,2241
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.5,2317
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.55,2392
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.6,2469
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.65,2549
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.7,2632
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.75,2723
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.8,2823
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.85,2941
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.9,3088
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.95,3307
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.975,3496
"2021-08-16","forecast","4 wk ahead inc case","2021-09-11","CZ","quantile",0.99,3717
"2021-08-16","forecast","1 wk ahead inc case","2021-08-21","CZ","point",NA,1682
