forecast_date,target,target_end_date,location,type,quantile,value
2022-05-30,1 wk ahead inc case,2022-06-04,PL,point,NA,1265
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.01,841
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.025,901
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.05,956
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.1,1020
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.15,1065
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.2,1101
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.25,1132
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.3,1161
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.35,1188
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.4,1214
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.45,1240
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.5,1265
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.55,1282
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.6,1299
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.65,1317
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.7,1336
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.75,1356
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.8,1379
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.85,1406
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.9,1440
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.95,1491
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.975,1535
2022-05-30,1 wk ahead inc case,2022-06-04,PL,quantile,0.99,1587
2022-05-30,2 wk ahead inc case,2022-06-11,PL,point,NA,941
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.01,306
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.025,371
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.05,436
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.1,522
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.15,588
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.2,644
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.25,696
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.3,745
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.35,794
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.4,842
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.45,891
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.5,941
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.55,976
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.6,1012
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.65,1050
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.7,1092
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.75,1138
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.8,1190
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.85,1254
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.9,1338
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.95,1468
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.975,1589
2022-05-30,2 wk ahead inc case,2022-06-11,PL,quantile,0.99,1738
2022-05-30,3 wk ahead inc case,2022-06-18,PL,point,NA,678
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.01,83
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.025,119
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.05,162
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.1,226
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.15,282
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.2,335
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.25,387
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.3,440
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.35,494
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.4,552
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.45,612
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.5,678
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.55,725
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.6,776
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.65,831
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.7,893
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.75,964
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.8,1048
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.85,1154
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.9,1301
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.95,1545
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.975,1787
2022-05-30,3 wk ahead inc case,2022-06-18,PL,quantile,0.99,2108
2022-05-30,4 wk ahead inc case,2022-06-25,PL,point,NA,471
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.01,16
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.025,29
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.05,47
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.1,82
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.15,116
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.2,153
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.25,193
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.3,237
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.35,285
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.4,339
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.45,401
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.5,471
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.55,524
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.6,583
2022-05-30,4 wk ahead inc case,2022-06-25,PL,quantile,0.65,650
