"forecast_date","target","target_end_date","location","type","quantile","value"
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","point","NA",887
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.01,402
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.025,458
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.05,510
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.1,573
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.15,619
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.2,658
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.25,694
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.3,727
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.35,761
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.4,795
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.45,834
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.5,887
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.55,942
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.6,983
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.65,1020
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.7,1057
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.75,1094
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.8,1135
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.85,1180
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.9,1236
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.95,1316
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.975,1384
2023-05-01,"1 wk ahead inc case",2023-05-06,"PL","quantile",0.99,1462
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","point","NA",835
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.01,330
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.025,386
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.05,437
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.1,503
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.15,551
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.2,592
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.25,629
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.3,665
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.35,701
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.4,739
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.45,779
2023-05-01,"2 wk ahead inc case",2023-05-13,"PL","quantile",0.5,835
