"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","point","NA",696,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.01,328,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.025,374,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.05,417,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.1,470,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.15,509,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.2,541,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.25,569,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.3,596,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.35,622,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.4,646,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.45,671,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.5,696,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.55,717,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.6,739,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.65,761,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.7,785,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.75,812,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.8,842,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.85,877,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.9,923,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.95,993,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.975,1056,"forecast"
2023-09-11,"1 wk ahead inc case",2023-09-16,"PL","quantile",0.99,1131,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","point","NA",975,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.01,238,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.025,304,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.05,372,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.1,466,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.15,541,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.2,607,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.25,668,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.3,728,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.35,788,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.4,848,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.45,910,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.5,975,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.55,1024,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.6,1076,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.65,1132,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.7,1193,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.75,1261,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.8,1340,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.85,1437,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.9,1566,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.95,1773,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.975,1967,"forecast"
2023-09-11,"2 wk ahead inc case",2023-09-23,"PL","quantile",0.99,2212,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","point","NA",1324,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.01,131,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.025,196,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.05,274,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.1,397,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.15,505,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.2,610,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.25,715,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.3,823,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.35,935,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.4,1055,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.45,1183,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.5,1324,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.55,1428,"forecast"
2023-09-11,"3 wk ahead inc case",2023-09-30,"PL","quantile",0.6,1541,"forecast"
