forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2024-04-08,1 wk ahead inc case,2024-04-13,PL,point,NA,146,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.01,39,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.025,49,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.05,59,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.1,74,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.15,85,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.2,94,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.25,103,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.3,112,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.35,120,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.4,128,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.45,137,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.5,146,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.55,157,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.6,168,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.65,181,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.7,195,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.75,211,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.8,231,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.85,255,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.9,288,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.95,344,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.975,400,forecast
2024-04-08,1 wk ahead inc case,2024-04-13,PL,quantile,0.99,473,forecast
