"forecast_date","scenario_id","target","target_end_date","location","type","quantile","value"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","point","NA","122382.86995890217"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.01","64278.66612701107"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.025","72279.66965530248"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.05","79743.74344442092"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.1","88221.07177013074"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.15","94202.0510493111"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.2","99176.79296129118"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.25","103323.50862927485"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.3","107252.51256100576"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.35","111282.7018112021"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.4","114923.38108260851"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.45","118728.87596332547"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.5","122382.86995890217"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.55","126372.73653115971"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.6","130751.46959497812"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.65","135283.98164886693"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.7","140424.4141728478"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.75","146331.59000805928"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.8","153025.85657148663"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.85","161623.92886181694"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.9","173279.5239017024"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.95","193018.14261899886"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.975","216727.25440218695"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","DE","quantile","0.99","251783.56626811688"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","point","NA","150675.491368547"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.01","46455.405698757924"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.025","59104.832478759316"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.05","70525.98932083823"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.1","84299.38731964203"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.15","94487.08655692694"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.2","103225.7793262637"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.25","111323.68446083198"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.3","118916.64950147051"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.35","126513.41959970351"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.4","134632.51596443405"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.45","142534.11436663975"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.5","150675.491368547"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.55","159325.05902785706"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.6","169476.40143327258"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.65","180349.98019811464"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.7","192667.4293883983"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.75","206816.53307683335"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.8","224891.57620973294"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.85","248852.23544662914"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.9","285876.32557272457"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.95","364283.2347576421"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.975","453172.23604419926"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","DE","quantile","0.99","641967.5505746828"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","point","NA","185031.07833830616"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.01","31327.75130833461"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.025","44624.43986610694"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.05","57771.95068968358"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.1","78093.34502164178"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.15","91533.61361438117"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.2","104937.27050955787"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.25","116728.6939667491"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.3","128797.06977015518"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.35","141750.62331972615"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.4","154955.6338171171"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.45","169453.97451908988"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.5","185031.07833830616"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.55","203124.45290718263"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.6","221525.35848247807"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.65","243629.18163081424"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.7","269581.11304285674"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.75","302159.942455827"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.8","341508.64270735596"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.85","403084.9228565878"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.9","505545.3311753447"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.95","739090.0259821271"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.975","1074873.0564403578"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","DE","quantile","0.99","1887002.9507001461"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","point","NA","221768.15613816417"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.01","21613.953531908213"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.025","33361.32334104519"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.05","47436.52332432879"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.1","69631.82542560427"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.15","87818.97456738759"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.2","104589.05990510504"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.25","120214.02530002325"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.3","136628.08217993748"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.35","155237.96999026623"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.4","175259.63222998122"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.45","196686.8178010679"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.5","221768.15613816417"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.55","251137.73177035968"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.6","285229.02681155235"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.65","322372.65215326526"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.7","371142.9444508077"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.75","431591.357988392"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.8","513703.8068979543"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.85","645060.6219450572"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.9","882369.5604379382"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.95","1439502.530263749"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.975","2472966.177212995"
"2021-03-22","forecast","4 wk ahead inc case","2021-04-17","DE","quantile","0.99","5854187.08993255"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","point","NA","1595.264441769562"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.01","904.0641523994387"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.025","994.3111100690709"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.05","1085.1570896153346"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.1","1188.342426127713"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.15","1257.3083166101171"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.2","1312.8120966619247"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.25","1364.073677725448"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.3","1412.5146628487066"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.35","1458.6303721893041"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.4","1503.9005634185492"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.45","1548.8590061327611"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.5","1595.264441769562"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.55","1641.0113366983862"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.6","1688.9002932345807"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.65","1740.5086833977075"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.7","1795.2017471417694"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.75","1859.4188617851926"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.8","1934.9902409702686"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.85","2021.2476830890032"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.9","2134.626537596866"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.95","2311.402165209239"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.975","2490.487471602772"
"2021-03-22","forecast","1 wk ahead inc case","2021-03-27","MT","quantile","0.99","2786.9464065755897"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","point","NA","1407.802657778335"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.01","453.5846659572041"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.025","543.2357787468591"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.05","632.1064477625691"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.1","761.1706863268045"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.15","863.0080878741209"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.2","951.9380015473113"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.25","1032.4849920097236"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.3","1108.7352774522737"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.35","1184.0506919074635"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.4","1253.8117997491015"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.45","1332.2266732034716"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.5","1407.802657778335"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.55","1494.0258075353645"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.6","1582.3403986325302"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.65","1689.3487213867197"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.7","1808.4306472101666"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.75","1963.660753819485"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.8","2159.6739870014453"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.85","2425.3747642748003"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.9","2751.3304919134644"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.95","3319.3710404578223"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.975","3989.632223188457"
"2021-03-22","forecast","2 wk ahead inc case","2021-04-03","MT","quantile","0.99","5530.6182246173485"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","MT","point","NA","1259.8516459495538"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","MT","quantile","0.01","216.71124640551568"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","MT","quantile","0.025","284.2614561534635"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","MT","quantile","0.05","358.10977570192534"
"2021-03-22","forecast","3 wk ahead inc case","2021-04-10","MT","quantile","0.1","472.4350119523543"
