forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-03-01,1 wk ahead inc death,2021-03-06,AT,point,NA,145,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.01,73,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.025,84,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.05,94,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.1,105,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.15,113,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.2,119,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.25,124,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.3,128,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.35,133,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.4,137,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.45,141,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.5,145,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.55,149,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.6,153,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.65,157,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.7,161,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.75,166,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.8,171,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.85,177,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.9,184,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.95,196,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.975,205,forecast
2021-03-01,1 wk ahead inc death,2021-03-06,AT,quantile,0.99,217,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,point,NA,130,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.01,46,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.025,59,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.05,71,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.1,84,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.15,93,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.2,100,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.25,106,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.3,111,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.35,116,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.4,121,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.45,126,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.5,130,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.55,135,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.6,139,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.65,144,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.7,149,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.75,154,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.8,160,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.85,168,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.9,176,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.95,190,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.975,201,forecast
2021-03-01,2 wk ahead inc death,2021-03-13,AT,quantile,0.99,214,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,point,NA,119,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.01,22,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.025,38,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.05,51,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.1,66,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.15,76,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.2,84,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.25,91,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.3,97,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.35,103,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.4,108,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.45,113,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.5,119,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.55,124,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.6,129,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.65,134,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.7,140,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.75,146,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.8,153,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.85,161,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.9,172,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.95,187,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.975,200,forecast
2021-03-01,3 wk ahead inc death,2021-03-20,AT,quantile,0.99,215,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,point,NA,13982,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.025,10272,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.1,11556,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.25,12706,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.5,13982,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.75,15258,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.9,16407,forecast
2021-03-01,1 wk ahead inc case,2021-03-06,AT,quantile,0.975,17692,forecast
2021-03-01,4 wk ahead inc death,2021-03-27,AT,point,NA,109,forecast
