forecast_date,target,target_end_date,location,type,quantile,value
2021-07-12,1 wk ahead inc death,2021-07-17,AT,point,NA,11
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.01,0
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.025,0
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.05,0
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.1,0
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.15,1
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.2,3
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.25,5
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.3,6
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.35,7
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.4,9
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.45,10
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.5,11
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.55,13
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.6,14
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.65,15
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.7,17
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.75,18
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.8,20
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.85,22
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.9,24
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.95,28
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.975,31
2021-07-12,1 wk ahead inc death,2021-07-17,AT,quantile,0.99,35
2021-07-12,2 wk ahead inc death,2021-07-24,AT,point,NA,12
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.01,0
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.025,0
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.05,0
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.1,0
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.15,0
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.2,1
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.25,4
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.3,5
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.35,7
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.4,9
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.45,11
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.5,12
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.55,14
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.6,15
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.65,17
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.7,19
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.75,21
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.8,23
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.85,25
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.9,28
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.95,33
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.975,37
2021-07-12,2 wk ahead inc death,2021-07-24,AT,quantile,0.99,42
2021-07-12,3 wk ahead inc death,2021-07-31,AT,point,NA,13
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.01,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.025,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.05,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.1,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.15,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.2,0
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.25,2
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.3,5
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.35,7
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.4,9
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.45,11
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.5,13
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.55,15
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.6,16
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.65,19
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.7,21
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.75,23
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.8,25
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.85,28
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.9,32
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.95,38
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.975,43
2021-07-12,3 wk ahead inc death,2021-07-31,AT,quantile,0.99,48
2021-07-12,1 wk ahead inc case,2021-07-17,AT,point,NA,540
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.01,0
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.025,0
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.05,0
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.1,0
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.15,0
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.2,74
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.25,166
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.3,250
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.35,327
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.4,400
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.45,470
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.5,540
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.55,609
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.6,680
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.65,753
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.7,830
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.75,913
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.8,1006
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.85,1114
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.9,1249
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.95,1451
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.975,1625
2021-07-12,1 wk ahead inc case,2021-07-17,AT,quantile,0.99,1828
2021-07-12,4 wk ahead inc death,2021-08-07,AT,point,NA,12
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.01,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.025,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.05,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.1,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.15,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.2,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.25,0
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.3,3
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.35,6
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.4,8
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.45,10
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.5,12
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.55,15
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.6,17
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.65,19
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.7,22
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.75,24
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.8,27
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.85,31
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.9,35
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.95,42
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.975,47
2021-07-12,4 wk ahead inc death,2021-08-07,AT,quantile,0.99,54
2021-07-12,2 wk ahead inc case,2021-07-24,AT,point,NA,476
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.01,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.025,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.05,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.1,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.15,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.2,0
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.25,10
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.3,114
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.35,210
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.4,301
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.45,389
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.5,476
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.55,563
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.6,651
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.65,743
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.7,839
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.75,943
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.8,1059
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.85,1194
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.9,1363
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.95,1615
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.975,1833
2021-07-12,2 wk ahead inc case,2021-07-24,AT,quantile,0.99,2087
2021-07-12,3 wk ahead inc case,2021-07-31,AT,point,NA,415
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.01,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.025,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.05,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.1,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.15,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.2,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.25,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.3,0
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.35,95
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.4,205
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.45,311
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.5,415
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.55,519
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.6,625
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.65,734
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.7,850
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.75,975
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.8,1114
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.85,1276
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.9,1479
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.95,1781
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.975,2043
2021-07-12,3 wk ahead inc case,2021-07-31,AT,quantile,0.99,2347
2021-07-12,4 wk ahead inc case,2021-08-07,AT,point,NA,361
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.01,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.025,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.05,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.1,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.15,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.2,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.25,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.3,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.35,0
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.4,116
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.45,240
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.5,361
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.55,483
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.6,606
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.65,734
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.7,869
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.75,1015
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.8,1177
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.85,1366
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.9,1603
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.95,1956
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.975,2261
2021-07-12,4 wk ahead inc case,2021-08-07,AT,quantile,0.99,2616
2021-07-12,1 wk ahead inc death,2021-07-17,BE,point,NA,11
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.01,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.025,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.05,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.1,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.15,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.2,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.25,0
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.3,1
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.35,3
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.4,6
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.45,8
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.5,11
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.55,13
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.6,16
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.65,18
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.7,21
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.75,24
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.8,27
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.85,31
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.9,36
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.95,43
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.975,49
2021-07-12,1 wk ahead inc death,2021-07-17,BE,quantile,0.99,56
2021-07-12,2 wk ahead inc death,2021-07-24,BE,point,NA,9
