forecast_date,target,target_end_date,location,type,quantile,value
2022-03-21,1 wk ahead inc death,2022-03-26,AT,point,NA,194
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.01,152
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.025,159
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.05,165
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.1,171
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.15,176
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.2,179
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.25,182
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.3,185
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.35,188
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.4,190
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.45,192
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.5,194
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.55,197
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.6,199
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.65,201
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.7,204
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.75,207
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.8,210
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.85,213
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.9,218
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.95,224
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.975,230
2022-03-21,1 wk ahead inc death,2022-03-26,AT,quantile,0.99,237
2022-03-21,1 wk ahead inc case,2022-03-26,AT,point,NA,339183
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.01,264498
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.025,276258
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.05,286375
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.1,298042
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.15,305916
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.2,312174
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.25,317543
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.3,322364
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.35,326829
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.4,331065
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.45,335159
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.5,339183
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.55,343208
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.6,347302
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.65,351537
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.7,356003
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.75,360823
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.8,366192
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.85,372451
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.9,380324
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.95,391991
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.975,402108
2022-03-21,1 wk ahead inc case,2022-03-26,AT,quantile,0.99,413869
2022-03-21,2 wk ahead inc death,2022-04-02,AT,point,NA,188
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.01,132
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.025,141
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.05,149
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.1,157
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.15,163
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.2,168
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.25,172
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.3,176
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.35,179
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.4,182
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.45,185
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.5,188
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.55,191
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.6,194
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.65,198
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.7,201
2022-03-21,2 wk ahead inc death,2022-04-02,AT,quantile,0.75,205
