location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,13260
BE,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,11208
BG,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,14083
CH,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,4106
CY,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,468
CZ,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,6077
DE,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,60389
DK,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,4651
EE,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,7086
ES,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,7864
FI,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,3064
FR,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,32780
GB,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,267252
GR,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,15397
HR,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,9064
HU,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,4165
IE,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,8979
IS,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,298
IT,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,15698
LI,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,7
LT,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,16276
LU,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,651
LV,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,11901
MT,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,187
NL,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,16536
NO,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,2487
PL,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,12466
PT,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,3914
RO,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,104723
SE,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,3266
SI,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,5075
SK,1 wk ahead inc case,point,NA,2021-10-11,2021-10-16,11305
AT,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,63
BE,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,63
BG,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,586
CH,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,34
CY,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,6
CZ,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,34
DE,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,383
DK,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,10
EE,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,43
ES,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,210
FI,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,20
FR,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,231
GB,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,705
GR,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,209
HR,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,82
HU,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,78
IE,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,19
IS,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,0
IT,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,209
LI,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,0
LT,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,185
LU,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,1
LV,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,75
MT,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,3
NL,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,20
NO,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,4
PL,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,183
PT,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,54
RO,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,2323
SE,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,12
SI,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,151
SK,1 wk ahead inc death,point,NA,2021-10-11,2021-10-16,68
