"location","target","type","quantile","forecast_date","target_end_date","value","scenario_id"
"AT","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,14270,"forecast"
"BE","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,43951,"forecast"
"BG","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,7340,"forecast"
"CH","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,55643,"forecast"
"CY","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,4523,"forecast"
"CZ","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,47919,"forecast"
"DE","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,205491,"forecast"
"DK","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,73876,"forecast"
"EE","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,3847,"forecast"
"ES","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,204391,"forecast"
"FI","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,12260,"forecast"
"FR","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,377392,"forecast"
"GB","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,627959,"forecast"
"GR","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,26070,"forecast"
"HR","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,17686,"forecast"
"HU","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,20219,"forecast"
"IE","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,32689,"forecast"
"IS","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,1067,"forecast"
"IT","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,187235,"forecast"
"LI","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,299,"forecast"
"LT","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,10689,"forecast"
"LU","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,2397,"forecast"
"LV","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,5238,"forecast"
"MT","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,1779,"forecast"
"NL","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,80723,"forecast"
"NO","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,33540,"forecast"
"PL","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,105163,"forecast"
"PT","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,30677,"forecast"
"RO","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,3375,"forecast"
"SE","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,22989,"forecast"
"SI","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,7063,"forecast"
"SK","1 wk ahead inc case","point",NA,2021-12-20,2021-12-25,27332,"forecast"
"AT","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,225,"forecast"
"BE","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,213,"forecast"
"BG","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,444,"forecast"
"CH","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,178,"forecast"
"CY","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,15,"forecast"
"CZ","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,732,"forecast"
"DE","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,2610,"forecast"
"DK","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,75,"forecast"
"EE","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,35,"forecast"
"ES","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,285,"forecast"
"FI","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,33,"forecast"
"FR","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,1182,"forecast"
"GB","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,682,"forecast"
"GR","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,635,"forecast"
"HR","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,310,"forecast"
"HU","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,876,"forecast"
"IE","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,17,"forecast"
"IS","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,1,"forecast"
"IT","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,911,"forecast"
"LI","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,3,"forecast"
"LT","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,150,"forecast"
"LU","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,0,"forecast"
"LV","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,55,"forecast"
"MT","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,0,"forecast"
"NL","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,392,"forecast"
"NO","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,44,"forecast"
"PL","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,2919,"forecast"
"PT","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,103,"forecast"
"RO","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,356,"forecast"
"SE","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,31,"forecast"
"SI","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,73,"forecast"
"SK","1 wk ahead inc death","point",NA,2021-12-20,2021-12-25,736,"forecast"
