forecast_date,target,target_end_date,location,type,quantile,value
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.01,116830
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.01,38332
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.01,447373
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.01,8530
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.01,8128
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.01,585
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.01,28036
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.01,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.01,29598
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.025,131152
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.025,54642
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.025,562024
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.025,5381
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.025,9840
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.025,42313
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.025,683
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.025,99
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.025,31110
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.025,5779
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.025,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.025,35240
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.05,145591
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.05,859
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.05,67301
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.05,654966
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.05,14958
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.05,9589
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.05,1858
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.05,11182
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.05,70775
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.05,764
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.05,6955
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.05,307
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.05,33526
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.05,18393
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.05,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.05,39701
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.1,150546
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.1,2310
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.1,78659
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.1,722488
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.1,19698
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.1,14944
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.1,55952
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.1,1386
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.1,11662
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.1,92315
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.1,821
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.1,9868
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.1,617
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.1,36024
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.1,29323
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.1,24699
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.1,3666
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.1,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.1,43962
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.15,155696
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.15,3959
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.15,86487
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.15,3620
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.15,803277
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.15,30539
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.15,17119
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.15,3625
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.15,102807
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.15,23640
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.15,28582
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.15,2680
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.15,1986
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.15,1624
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.15,12025
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.15,106124
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.15,871
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.15,11653
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.15,1146
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.15,36551
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.15,325757
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.15,37156
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.15,15097
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.15,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.15,45726
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.2,164321
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.2,0
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.2,4889
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.2,93090
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.2,8408
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.2,95
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.2,812785
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.2,34862
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.2,18986
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.2,14783
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.2,5983
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.2,185537
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.2,35233
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.2,80804
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.2,3856
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.2,4194
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.2,9275
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.2,12800
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.2,118809
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.2,899
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.2,16458
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.2,2039
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.2,38259
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.2,138
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.2,362237
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.2,38956
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.2,32240
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.2,35766
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.2,5902
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.2,0
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.2,0
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.2,47691
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.25,168611
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.25,1707
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.25,5742
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.25,94581
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.25,9690
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.25,14595
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.25,849288
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.25,40615
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.25,19918
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.25,18771
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.25,9059
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.25,226841
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.25,59116
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.25,81931
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.25,4324
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.25,5074
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.25,11763
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.25,13321
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.25,131455
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.25,935
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.25,18049
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.25,2466
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.25,38888
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.25,230
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.25,404953
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.25,39935
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.25,35391
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.25,44461
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.25,13491
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.25,1161
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.25,5853
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.25,49936
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.3,195883
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.3,7365
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.3,6198
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.3,95916
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.3,11025
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.3,18542
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.3,862063
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.3,44595
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.3,22482
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.3,35106
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.3,11623
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.3,257877
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.3,82462
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.3,86710
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.3,4886
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.3,7779
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.3,13164
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.3,14617
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.3,136451
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.3,1007
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.3,18653
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.3,3140
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.3,40349
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.3,373
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.3,431090
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.3,41301
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.3,36674
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.3,50262
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.3,18309
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.3,1971
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.3,10083
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.3,51800
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.35,203156
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.35,10100
2022-03-06,1 wk ahead inc case,2022-03-12,BG,quantile,0.35,6530
2022-03-06,1 wk ahead inc case,2022-03-12,CH,quantile,0.35,97831
2022-03-06,1 wk ahead inc case,2022-03-12,CY,quantile,0.35,11738
2022-03-06,1 wk ahead inc case,2022-03-12,CZ,quantile,0.35,26914
2022-03-06,1 wk ahead inc case,2022-03-12,DE,quantile,0.35,909258
2022-03-06,1 wk ahead inc case,2022-03-12,DK,quantile,0.35,50336
2022-03-06,1 wk ahead inc case,2022-03-12,EE,quantile,0.35,23689
2022-03-06,1 wk ahead inc case,2022-03-12,ES,quantile,0.35,48899
2022-03-06,1 wk ahead inc case,2022-03-12,FI,quantile,0.35,12351
2022-03-06,1 wk ahead inc case,2022-03-12,FR,quantile,0.35,328901
2022-03-06,1 wk ahead inc case,2022-03-12,GB,quantile,0.35,109860
2022-03-06,1 wk ahead inc case,2022-03-12,GR,quantile,0.35,87911
2022-03-06,1 wk ahead inc case,2022-03-12,HR,quantile,0.35,5472
2022-03-06,1 wk ahead inc case,2022-03-12,HU,quantile,0.35,8152
2022-03-06,1 wk ahead inc case,2022-03-12,IE,quantile,0.35,13352
2022-03-06,1 wk ahead inc case,2022-03-12,IS,quantile,0.35,15182
2022-03-06,1 wk ahead inc case,2022-03-12,IT,quantile,0.35,183380
2022-03-06,1 wk ahead inc case,2022-03-12,LI,quantile,0.35,1061
2022-03-06,1 wk ahead inc case,2022-03-12,LT,quantile,0.35,19600
2022-03-06,1 wk ahead inc case,2022-03-12,LU,quantile,0.35,3484
2022-03-06,1 wk ahead inc case,2022-03-12,LV,quantile,0.35,41259
2022-03-06,1 wk ahead inc case,2022-03-12,MT,quantile,0.35,443
2022-03-06,1 wk ahead inc case,2022-03-12,NL,quantile,0.35,438993
2022-03-06,1 wk ahead inc case,2022-03-12,NO,quantile,0.35,48406
2022-03-06,1 wk ahead inc case,2022-03-12,PL,quantile,0.35,38628
2022-03-06,1 wk ahead inc case,2022-03-12,PT,quantile,0.35,57614
2022-03-06,1 wk ahead inc case,2022-03-12,RO,quantile,0.35,21505
2022-03-06,1 wk ahead inc case,2022-03-12,SE,quantile,0.35,4983
2022-03-06,1 wk ahead inc case,2022-03-12,SI,quantile,0.35,11654
2022-03-06,1 wk ahead inc case,2022-03-12,SK,quantile,0.35,55536
2022-03-06,1 wk ahead inc case,2022-03-12,AT,quantile,0.4,206126
2022-03-06,1 wk ahead inc case,2022-03-12,BE,quantile,0.4,16783
