forecast_date,target,target_end_date,location,type,quantile,value
2023-06-17,1 wk ahead inc case,2023-06-24,BE,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,BG,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,CZ,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,DK,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,DE,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,EE,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,IE,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,GR,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,ES,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,FR,quantile,0.010,1
2023-06-17,1 wk ahead inc case,2023-06-24,HR,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,IT,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,CY,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,LV,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,LT,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,LU,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,HU,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,MT,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,NL,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,AT,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,PL,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,PT,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,RO,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,SI,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,SK,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,FI,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,SE,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,GB,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,IS,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,LI,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,NO,quantile,0.010,0
2023-06-17,1 wk ahead inc case,2023-06-24,CH,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,BE,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,BG,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,CZ,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,DK,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,DE,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,EE,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,IE,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,GR,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,ES,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,FR,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,HR,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,IT,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,CY,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,LV,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,LT,quantile,0.010,0
2023-06-17,2 wk ahead inc case,2023-07-01,LU,quantile,0.010,0
