"target_end_date","location","target","forecast_date","type","value","quantile"
2021-11-13,"IT","1 wk ahead inc case","2021-11-08","quantile",28566,0.025
2021-11-20,"IT","2 wk ahead inc case","2021-11-08","quantile",34931,0.025
2021-11-13,"IT","1 wk ahead inc case","2021-11-08","point",43793,NA
2021-11-20,"IT","2 wk ahead inc case","2021-11-08","point",53258,NA
2021-11-13,"IT","1 wk ahead inc case","2021-11-08","quantile",62080,0.975
2021-11-20,"IT","2 wk ahead inc case","2021-11-08","quantile",75596,0.975
2021-11-13,"IT","1 wk ahead inc death","2021-11-08","quantile",246,0.025
2021-11-20,"IT","2 wk ahead inc death","2021-11-08","quantile",245,0.025
2021-11-27,"IT","3 wk ahead inc death","2021-11-08","quantile",244,0.025
2021-12-04,"IT","4 wk ahead inc death","2021-11-08","quantile",240,0.025
2021-11-13,"IT","1 wk ahead inc death","2021-11-08","point",292,NA
2021-11-20,"IT","2 wk ahead inc death","2021-11-08","point",289,NA
2021-11-27,"IT","3 wk ahead inc death","2021-11-08","point",285,NA
2021-12-04,"IT","4 wk ahead inc death","2021-11-08","point",279,NA
2021-11-13,"IT","1 wk ahead inc death","2021-11-08","quantile",338,0.975
2021-11-20,"IT","2 wk ahead inc death","2021-11-08","quantile",335,0.975
2021-11-27,"IT","3 wk ahead inc death","2021-11-08","quantile",330,0.975
2021-12-04,"IT","4 wk ahead inc death","2021-11-08","quantile",323,0.975
