forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.01,42812
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.01,36776
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.01,31387
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.01,26723
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.025,46434
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.025,41698
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.025,37241
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.025,33193
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.05,49794
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.05,46455
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.05,43142
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.05,39997
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.1,53969
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.1,52616
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.1,51115
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.1,49590
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.15,56983
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.15,57229
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.15,57311
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.15,57331
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.2,59497
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.2,61182
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.2,62766
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.2,64336
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.25,61743
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.25,64789
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.25,67859
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.25,71024
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.3,63831
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.3,68210
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.3,72783
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.3,77620
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.35,65830
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.35,71541
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.35,77665
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.35,84278
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.4,67784
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.4,74852
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.4,82599
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.4,91124
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.45,69730
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.45,78202
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.45,87672
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.45,98276
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.5,71700
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.5,81644
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.5,92968
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.5,105862
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.55,73725
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.55,85238
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,ES,quantile,0.55,98584
2021-04-26,forecast,4 wk ahead inc case,2021-05-22,ES,quantile,0.55,114034
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,ES,quantile,0.6,75841
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,ES,quantile,0.6,89052
