forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.01,23436
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.01,20079
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.01,17102
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.01,14533
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.025,25279
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.025,22527
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.025,19976
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.025,17679
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.05,26979
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.05,24870
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.05,22831
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.05,20925
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.1,29082
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.1,27876
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.1,26632
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.1,25413
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.15,30593
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.15,30106
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.15,29549
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.15,28972
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.2,31850
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.2,32005
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.2,32093
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.2,32154
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.25,32969
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.25,33730
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.25,34449
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.25,35161
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.3,34007
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.3,35357
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.3,36712
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.3,38099
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.35,34998
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.35,36936
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.35,38942
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.35,41042
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.4,35966
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.4,38498
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.4,41183
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.4,44043
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.45,36927
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.45,40073
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.45,43473
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.45,47156
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.5,37899
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.5,41686
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.5,45852
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.5,50434
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.55,38896
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.55,43364
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.55,48361
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.55,53940
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.6,39935
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.6,45138
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.6,51051
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.6,57753
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.65,41039
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.65,47048
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.65,53988
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.65,61977
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.7,42236
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.7,49148
2021-06-14,forecast,3 wk ahead inc case,2021-07-03,ES,quantile,0.7,57267
2021-06-14,forecast,4 wk ahead inc case,2021-07-10,ES,quantile,0.7,66763
2021-06-14,forecast,1 wk ahead inc case,2021-06-19,ES,quantile,0.75,43566
2021-06-14,forecast,2 wk ahead inc case,2021-06-26,ES,quantile,0.75,51520
