forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,point,NA,398912
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.01,23075
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.025,31056
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.05,50449
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.1,89466
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.15,128383
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.2,167140
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.25,205683
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.3,244503
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.35,283428
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.4,321820
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.45,360616
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.5,399070
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.55,437962
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.6,476676
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.65,515230
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.7,553536
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.75,592042
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.8,630620
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.85,669247
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.9,707743
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.95,746296
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.975,765617
2022-07-11,forecast,1 wk ahead inc case,2022-07-16,ES,quantile,0.99,773572
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,point,NA,390435
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.01,22279
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.025,30081
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.05,49044
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.1,87166
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.15,125286
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.2,163198
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.25,201145
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.3,239172
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.35,277304
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.4,314892
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.45,352710
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.5,390550
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.55,428454
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.6,466367
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.65,503987
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.7,541732
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.75,579621
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.8,617686
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.85,655562
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.9,693378
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.95,731267
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.975,750227
2022-07-11,forecast,2 wk ahead inc case,2022-07-23,ES,quantile,0.99,758028
