forecast_date,target,target_end_date,location,type,quantile,value
2022-08-01,1 wk ahead inc case,2022-08-06,ES,point,NA,152978
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.01,14576
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.025,14576
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.05,21871
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.1,36363
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.15,50816
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.2,65284
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.25,79776
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.3,94363
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.35,109017
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.4,123676
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.45,138283
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.5,152837
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.55,167395
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.6,182055
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.65,196580
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.7,211222
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.75,226052
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.8,240699
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.85,255365
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.9,270032
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.95,284621
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.975,291919
2022-08-01,1 wk ahead inc case,2022-08-06,ES,quantile,0.99,291919
2022-08-01,2 wk ahead inc case,2022-08-13,ES,point,NA,113941
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.01,10869
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.025,10869
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.05,16296
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.1,27081
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.15,37817
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.2,48564
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.25,59362
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.3,70241
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.35,81106
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.4,91978
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.45,102863
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.5,113755
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.55,124669
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.6,135577
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.65,146424
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.7,157354
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.75,168425
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.8,179375
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.85,190306
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.9,201245
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.95,212140
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.975,217610
2022-08-01,2 wk ahead inc case,2022-08-13,ES,quantile,0.99,217610
