"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","point",NA,26136,"forecast"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","quantile",0.025,16662,"forecast"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","quantile",0.25,19602,"forecast"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","quantile",0.5,26136,"forecast"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","quantile",0.75,30056,"forecast"
2021-11-15,"1 wk ahead inc case",2021-11-21,"SI","quantile",0.975,34564,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","point",NA,25048,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","quantile",0.025,15968,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","quantile",0.25,18786,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","quantile",0.5,25048,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","quantile",0.75,28806,"forecast"
2021-11-15,"2 wk ahead inc case",2021-11-28,"SI","quantile",0.975,33127,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","point",NA,21835,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","quantile",0.025,13920,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","quantile",0.25,16376,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","quantile",0.5,21835,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","quantile",0.75,25111,"forecast"
2021-11-15,"3 wk ahead inc case",2021-12-05,"SI","quantile",0.975,28878,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","point",NA,16961,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","quantile",0.025,10812,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","quantile",0.25,12720,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","quantile",0.5,16961,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","quantile",0.75,19505,"forecast"
2021-11-15,"4 wk ahead inc case",2021-12-12,"SI","quantile",0.975,22431,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","point",NA,111,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","quantile",0.025,65,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","quantile",0.25,76,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","quantile",0.5,111,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","quantile",0.75,135,"forecast"
2021-11-15,"1 wk ahead inc death",2021-11-21,"SI","quantile",0.975,155,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","point",NA,128,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","quantile",0.025,69,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","quantile",0.25,81,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","quantile",0.5,128,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","quantile",0.75,161,"forecast"
2021-11-15,"2 wk ahead inc death",2021-11-28,"SI","quantile",0.975,185,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","point",NA,142,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","quantile",0.025,73,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","quantile",0.25,86,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","quantile",0.5,142,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","quantile",0.75,182,"forecast"
2021-11-15,"3 wk ahead inc death",2021-12-05,"SI","quantile",0.975,209,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","point",NA,148,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","quantile",0.025,75,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","quantile",0.25,88,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","quantile",0.5,148,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","quantile",0.75,192,"forecast"
2021-11-15,"4 wk ahead inc death",2021-12-12,"SI","quantile",0.975,221,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","point",NA,839,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","quantile",0.025,535,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","quantile",0.25,629,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","quantile",0.5,839,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","quantile",0.75,965,"forecast"
2021-11-15,"1 wk ahead inc hosp",2021-11-21,"SI","quantile",0.975,1110,"forecast"
2021-11-15,"2 wk ahead inc hosp",2021-11-28,"SI","point",NA,864,"forecast"
2021-11-15,"2 wk ahead inc hosp",2021-11-28,"SI","quantile",0.025,551,"forecast"
2021-11-15,"2 wk ahead inc hosp",2021-11-28,"SI","quantile",0.25,648,"forecast"
