forecast_date,target,target_end_date,location,type,quantile,value
2022-06-20,1 wk ahead inc case,2022-06-25,SI,point,NA,1264
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.01,582
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.025,647
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.05,752
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.1,856
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.15,961
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.2,1065
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.25,1170
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.3,1189
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.35,1208
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.4,1226
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.45,1245
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.5,1264
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.55,1325
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.6,1387
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.65,1448
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.7,1510
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.75,1571
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.8,1756
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.85,1940
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.9,2125
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.95,2309
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.975,2494
2022-06-20,1 wk ahead inc case,2022-06-25,SI,quantile,0.99,2743
2022-06-20,2 wk ahead inc case,2022-07-02,SI,point,NA,1409
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.01,578
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.025,642
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.05,757
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.1,872
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.15,987
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.2,1102
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.25,1217
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.3,1255
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.35,1294
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.4,1332
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.45,1371
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.5,1409
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.55,1495
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.6,1580
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.65,1666
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.7,1751
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.75,1837
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.8,2077
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.85,2317
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.9,2558
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.95,2798
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.975,3038
2022-06-20,2 wk ahead inc case,2022-07-02,SI,quantile,0.99,3342
2022-06-20,3 wk ahead inc case,2022-07-09,SI,point,NA,1630
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.01,599
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.025,666
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.05,797
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.1,928
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.15,1059
2022-06-20,3 wk ahead inc case,2022-07-09,SI,quantile,0.2,1190
