"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","point",NA,6795,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.01,4202,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.025,4669,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.05,4914,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.1,5159,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.15,5404,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.2,5649,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.25,5894,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.3,6074,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.35,6254,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.4,6435,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.45,6615,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.5,6795,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.55,6982,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.6,7169,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.65,7355,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.7,7542,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.75,7729,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.8,8170,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.85,8612,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.9,9053,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.95,9495,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.975,9936,"forecast"
2023-01-09,"1 wk ahead inc case",2023-01-14,"SI","quantile",0.99,10930,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","point",NA,8859,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.01,4389,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.025,4877,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.05,5321,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.1,5765,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.15,6209,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.2,6653,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.25,7097,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.3,7449,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.35,7802,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.4,8154,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.45,8507,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.5,8859,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.55,9288,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.6,9717,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.65,10145,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.7,10574,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.75,11003,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.8,12134,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.85,13265,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.9,14395,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.95,15526,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.975,16657,"forecast"
2023-01-09,"2 wk ahead inc case",2023-01-21,"SI","quantile",0.99,18323,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","point",NA,8586,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.01,4233,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.025,4703,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.05,5177,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.1,5651,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.15,6125,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.2,6599,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.25,7073,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.3,7376,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.35,7678,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.4,7981,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.45,8283,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.5,8586,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.55,9005,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.6,9425,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.65,9844,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.7,10264,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.75,10683,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.8,11834,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.85,12985,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.9,14135,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.95,15286,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.975,16437,"forecast"
2023-01-09,"3 wk ahead inc case",2023-01-28,"SI","quantile",0.99,18081,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","point",NA,7462,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.01,4103,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.025,4559,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.05,4929,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.1,5299,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.15,5669,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.2,6039,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.25,6409,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.3,6620,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.35,6830,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.4,7041,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.45,7251,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.5,7462,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.55,7746,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.6,8031,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.65,8315,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.7,8600,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.75,8884,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.8,9287,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.85,9689,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.9,10092,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.95,10494,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.975,10897,"forecast"
2023-01-09,"4 wk ahead inc case",2023-02-04,"SI","quantile",0.99,11987,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","point",NA,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.01,12,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.025,13,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.05,13,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.1,14,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.15,14,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.2,15,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.25,15,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.3,15,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.35,15,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.4,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.45,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.5,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.55,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.6,16,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.65,17,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.7,17,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.75,17,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.8,18,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.85,19,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.9,21,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.95,22,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.975,23,"forecast"
2023-01-09,"1 wk ahead inc death",2023-01-14,"SI","quantile",0.99,25,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","point",NA,17,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.01,11,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.025,12,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.05,13,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.1,13,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.15,14,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.2,14,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.25,15,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.3,15,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.35,16,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.4,16,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.45,17,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.5,17,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.55,17,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.6,18,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.65,18,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.7,19,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.75,19,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.8,22,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.85,24,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.9,27,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.95,29,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.975,32,"forecast"
2023-01-09,"2 wk ahead inc death",2023-01-21,"SI","quantile",0.99,35,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","point",NA,18,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.01,10,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.025,11,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.05,12,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.1,13,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.15,13,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.2,14,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.25,15,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.3,16,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.35,16,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.4,17,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.45,17,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.5,18,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.55,19,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.6,20,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.65,21,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.7,22,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.75,23,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.8,29,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.85,34,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.9,40,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.95,45,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.975,51,"forecast"
2023-01-09,"3 wk ahead inc death",2023-01-28,"SI","quantile",0.99,56,"forecast"
2023-01-09,"4 wk ahead inc death",2023-02-04,"SI","point",NA,20,"forecast"
