quantile,value,type,location,target,forecast_date,target_end_date
0.010,16,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.025,19,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.050,20,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.100,23,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.150,24,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.200,26,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.250,27,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.300,29,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.350,30,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.400,31,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.450,32,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.500,33,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
NA,33,point,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.550,34,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.600,36,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.650,37,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.700,38,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.750,40,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.800,42,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.850,44,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.900,47,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.950,50,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.975,53,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.990,57,quantile,BE,1 wk ahead inc death,2021-08-29,2021-09-04
0.010,14,quantile,BE,2 wk ahead inc death,2021-08-29,2021-09-11
0.025,16,quantile,BE,2 wk ahead inc death,2021-08-29,2021-09-11
0.050,19,quantile,BE,2 wk ahead inc death,2021-08-29,2021-09-11
0.100,22,quantile,BE,2 wk ahead inc death,2021-08-29,2021-09-11
