"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,131,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.025,146,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.05,156,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.1,176,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.15,195,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.2,205,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.25,217,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.3,229,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.35,240,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.4,253,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.45,264,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.5,275,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
NA,275,"point","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.55,290,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.6,305,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.65,321,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.7,338,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.75,357,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.8,377,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.85,399,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.9,430,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.95,474,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.975,512,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.99,590,"quantile","BE","1 wk ahead inc death",2022-02-13,2022-02-19
0.01,87,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.025,102,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.05,115,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.1,133,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.15,148,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.2,159,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.25,170,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
0.3,180,"quantile","BE","2 wk ahead inc death",2022-02-13,2022-02-26
