quantile,value,type,location,target,forecast_date,target_end_date
0.010,135,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.025,147,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.050,159,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.100,170,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.150,180,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.200,189,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.250,195,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.300,202,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.350,209,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.400,213,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.450,219,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.500,225,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
NA,225,point,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.550,231,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.600,236,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.650,243,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.700,251,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.750,263,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.800,272,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.850,285,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.900,300,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.950,336,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.975,369,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.990,411,quantile,BE,1 wk ahead inc death,2021-04-18,2021-04-24
0.010,84,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.025,97,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.050,105,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.100,116,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.150,124,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.200,132,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.250,138,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.300,146,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.350,151,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.400,158,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.450,165,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.500,171,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
NA,171,point,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.550,179,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.600,187,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.650,195,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.700,204,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.750,216,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.800,231,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.850,246,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.900,267,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.950,309,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.975,341,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.990,398,quantile,BE,2 wk ahead inc death,2021-04-18,2021-05-01
0.010,50,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.025,56,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.050,63,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.100,73,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.150,78,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.200,86,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.250,92,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.300,98,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.350,102,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.400,108,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.450,113,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.500,121,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
NA,121,point,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.550,132,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.600,138,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.650,146,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.700,156,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.750,168,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.800,181,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.850,203,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.900,223,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.950,267,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.975,295,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.990,340,quantile,BE,3 wk ahead inc death,2021-04-18,2021-05-08
0.010,23,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.025,29,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.050,37,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.100,44,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.150,48,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.200,54,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.250,58,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.300,62,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.350,67,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.400,72,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.450,77,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.500,82,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
NA,82,point,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.550,88,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.600,94,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.650,103,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.700,113,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.750,126,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.800,135,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.850,155,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.900,180,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.950,218,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.975,245,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.990,295,quantile,BE,4 wk ahead inc death,2021-04-18,2021-05-15
0.010,357,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.025,380,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.050,408,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.100,447,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.150,478,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.200,495,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.250,513,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
0.300,532,quantile,BG,1 wk ahead inc death,2021-04-18,2021-04-24
