scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,point,NA, 8954.365
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,quantile,0.025,545.083
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,quantile,0.25,2811.8293
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,quantile,0.5,8954.365
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,quantile,0.75,18350.914
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,AT,quantile,0.975,15947.161
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,point,NA, 13997.173
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,quantile,0.025,12800.338
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,quantile,0.25,10933.326
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,quantile,0.5,13997.173
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,quantile,0.75,14531.532
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BE,quantile,0.975,13983.18
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,point,NA, 5732.1597
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,quantile,0.025,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,quantile,0.25,2348.5142
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,quantile,0.5,5732.1597
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,quantile,0.75,2704.456
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,BG,quantile,0.975,10676.505
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,point,NA, 2810.131
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,quantile,0.025,2275.5151
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,quantile,0.25,1683.2053
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,quantile,0.5,2810.131
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,quantile,0.75,2248.3157
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HR,quantile,0.975,3435.5444
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,CY,point,NA, 3657.6736
