forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.010,7066.14
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.010,3221.26
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.010,1541.76
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.025,8771.85
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.025,4471.88
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.025,2364.60
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.050,10590.97
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.050,5942.30
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.050,3427.34
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.100,13204.22
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.100,8267.75
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.100,5278.10
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.150,15354.71
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.150,10347.19
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.150,7079.46
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.200,17330.64
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.200,12379.89
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.200,8952.13
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.250,19257.91
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.250,14454.11
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.250,10959.10
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.300,21211.86
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.300,16625.31
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.300,13155.07
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.350,23216.25
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.350,18933.91
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.350,15602.00
2021-05-17,forecast,1 wk ahead inc case,2021-05-22,ES,quantile,0.400,25294.45
2021-05-17,forecast,2 wk ahead inc case,2021-05-29,ES,quantile,0.400,21472.10
2021-05-17,forecast,3 wk ahead inc case,2021-06-05,ES,quantile,0.400,18356.07
