forecast_date,target,target_end_date,location,type,quantile,value
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.01,44201
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.01,29170
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.01,20935
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.025,52659
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.025,37437
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.025,28473
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.05,61374
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.05,46577
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.05,37376
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.1,73419
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.1,60364
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.1,51694
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.15,82973
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.15,72209
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.15,64845
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.2,91539
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.2,83441
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.2,78023
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.25,99664
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.25,94594
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.25,91753
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.3,107640
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.3,106014
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.3,106380
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.35,115655
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.35,117940
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.35,122248
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.4,123865
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.4,130624
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.4,139731
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.45,132417
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.45,144312
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.45,159275
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.5,141466
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.5,159299
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.5,181449
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.55,151193
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.55,175987
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.55,206999
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.6,161830
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.6,194891
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.6,236986
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.65,173687
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.65,216723
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.65,272926
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.7,187215
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.7,242573
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.7,317181
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.75,203114
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.75,274182
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.75,373616
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.8,222574
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.8,314581
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.8,449162
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.85,247840
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.85,369742
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.85,557902
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.9,284124
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.9,454004
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.9,734997
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.95,348839
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.95,617805
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.95,1111874
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.975,417849
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.975,809687
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.975,1599347
2021-08-02,1 wk ahead inc case,2021-08-07,ES,quantile,0.99,516897
2021-08-02,2 wk ahead inc case,2021-08-14,ES,quantile,0.99,1112725
2021-08-02,3 wk ahead inc case,2021-08-21,ES,quantile,0.99,2451622
2021-08-02,1 wk ahead inc case,2021-08-07,ES,point,NA,141466
2021-08-02,2 wk ahead inc case,2021-08-14,ES,point,NA,159299
2021-08-02,3 wk ahead inc case,2021-08-21,ES,point,NA,181449
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.01,88
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.01,50
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.01,29
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.025,105
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.025,61
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.025,37
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.05,122
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.05,73
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.05,45
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.1,146
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.1,90
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.1,57
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.15,164
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.15,103
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.15,67
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.2,181
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.2,115
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.2,76
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.25,197
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.25,127
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.25,84
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.3,215
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.3,138
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.3,93
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.35,237
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.35,151
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.35,102
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.4,263
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.4,166
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.4,111
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.45,296
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.45,183
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.45,121
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.5,336
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.5,209
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.5,135
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.55,387
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.55,239
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.55,156
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.6,455
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.6,281
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.6,183
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.65,543
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.65,347
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.65,223
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.7,643
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.7,436
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.7,289
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.75,754
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.75,541
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.75,380
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.8,882
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.8,668
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.8,494
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.85,1037
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.85,828
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.85,644
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.9,1242
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.9,1043
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.9,852
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.95,1563
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.95,1388
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.95,1206
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.975,1862
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.975,1711
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.975,1550
2021-08-02,1 wk ahead inc death,2021-08-07,ES,quantile,0.99,2236
2021-08-02,2 wk ahead inc death,2021-08-14,ES,quantile,0.99,2118
2021-08-02,3 wk ahead inc death,2021-08-21,ES,quantile,0.99,1987
2021-08-02,1 wk ahead inc death,2021-08-07,ES,point,NA,336
2021-08-02,2 wk ahead inc death,2021-08-14,ES,point,NA,209
2021-08-02,3 wk ahead inc death,2021-08-21,ES,point,NA,135
