forecast_date,target,target_end_date,location,type,quantile,value
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.01,56622
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.01,22643
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.01,9330
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.025,71057
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.025,31271
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.025,14098
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.05,86799
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.05,41521
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.05,20272
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.1,109934
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.1,58213
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.1,31159
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.15,129616
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.15,73583
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.15,41962
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.2,148141
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.2,88988
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.2,53440
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.25,166425
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.25,105005
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.25,66109
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.3,185063
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.3,122166
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.3,80260
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.35,204512
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.35,140814
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.35,96336
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.4,225200
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.4,161455
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.4,114827
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.45,247596
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.45,184648
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.45,136432
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.5,272250
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.5,211079
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.5,161971
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.55,299883
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.55,241723
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.55,192741
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.6,331463
2022-02-14,2 wk ahead inc case,2022-02-26,ES,quantile,0.6,277971
2022-02-14,3 wk ahead inc case,2022-03-05,ES,quantile,0.6,230549
2022-02-14,1 wk ahead inc case,2022-02-19,ES,quantile,0.65,368381
