forecast_date,target,target_end_date,location,quantile,value,type
2021-03-08,1 wk ahead inc case,2021-03-13,FR,NA,175673,point
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.01,163750,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.025,164116,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.05,164726,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.1,165946,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.15,167166,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.2,168386,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.25,169606,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.3,170827,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.35,172045,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.4,173261,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.45,174477,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.5,175693,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.55,176907,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.6,178121,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.65,179334,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.7,180545,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.75,181755,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.8,182965,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.85,184173,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.9,185378,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.95,186584,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.975,187186,quantile
2021-03-08,1 wk ahead inc case,2021-03-13,FR,0.99,187548,quantile
2021-03-08,2 wk ahead inc case,2021-03-20,FR,NA,203612,point
2021-03-08,2 wk ahead inc case,2021-03-20,FR,0.01,192025,quantile
2021-03-08,2 wk ahead inc case,2021-03-20,FR,0.025,192383,quantile
