forecast_date,target,target_end_date,location,quantile,value,type,scenario_id
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.01,6234,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.01,1305,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.01,358,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.01,135,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.025,6234,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.025,1305,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.025,358,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.025,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.05,6234,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.05,1305,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.05,358,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.05,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.1,6235,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.1,1305,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.1,358,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.1,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.15,6235,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.15,1305,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.15,359,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.15,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.2,6236,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.2,1306,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.2,359,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.2,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.25,6236,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.25,1306,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.25,359,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.25,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.3,6237,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.3,1306,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.3,359,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.3,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.35,6237,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.35,1307,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.35,359,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.35,136,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.4,6276,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.4,1332,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.4,369,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.4,140,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.45,6904,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.45,1777,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.45,572,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.45,233,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.5,6926,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.5,1794,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.5,580,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.5,237,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.55,6949,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.55,1811,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.55,588,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.55,241,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.6,6970,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.6,1827,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.6,595,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.6,244,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.65,6980,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.65,1835,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.65,599,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.65,246,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.7,6991,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.7,1843,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.7,603,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.7,248,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.75,7004,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.75,1853,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.75,609,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.75,251,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.8,7017,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.8,1864,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.8,614,quantile,forecast
