"forecast_date","target","target_end_date","location","quantile","value","type","scenario_id"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.01,109850,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.01,125491,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.01,142072,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.01,159495,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.025,110250,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.025,126286,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.025,143330,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.025,161286,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.05,111161,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.05,128117,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.05,146255,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.05,165481,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.1,112924,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.1,131663,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.1,151936,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.1,173652,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.15,113464,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.15,132761,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.15,153711,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.15,176226,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.2,113839,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.2,133525,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.2,154951,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.2,178032,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.25,115479,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.25,136880,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.25,160411,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.25,186002,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.3,116075,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.3,138107,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.3,162425,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.3,188965,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.35,116467,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.35,138919,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.35,163761,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.35,190937,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.4,116596,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.4,139190,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.4,164211,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.4,191606,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.45,116745,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.45,139502,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.45,164729,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.45,192377,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.5,116860,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.5,139742,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.5,165129,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.5,192974,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.55,116970,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.55,139974,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.55,165515,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.55,193548,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.6,117037,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.6,140115,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.6,165750,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.6,193899,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.65,117135,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.65,140320,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.65,166092,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.65,194408,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.7,117380,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.7,140836,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.7,166953,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.7,195695,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.75,117836,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.75,141799,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.75,168565,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.75,198112,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.8,119210,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.8,144723,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.8,173494,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.8,205548,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.85,120010,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.85,146437,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.85,176404,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.85,209967,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.9,120945,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.9,148450,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.9,179840,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.9,215213,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.95,122605,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.95,152060,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.95,186058,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.95,224789,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.975,123290,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.975,153558,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.975,188656,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.975,228819,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",0.99,123757,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",0.99,154584,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",0.99,190442,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",0.99,231598,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","DE",NA,116738,"point","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","DE",NA,139513,"point","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","DE",NA,164778,"point","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","DE",NA,192491,"point","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.01,30806,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.01,26907,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.01,24355,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.01,22631,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.025,31020,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.025,27372,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.025,24959,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.025,23317,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.05,31675,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.05,28822,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.05,26875,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.05,25516,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.1,32789,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.1,31397,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.1,30394,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.1,29665,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.15,33610,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.15,33377,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.15,33203,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.15,33072,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.2,34691,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.2,36098,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.2,37203,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.2,38064,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.25,35527,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.25,38292,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.25,40544,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.25,42351,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.3,36142,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.3,39952,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.3,43140,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.3,45753,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.35,36697,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.35,41489,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.35,45593,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.35,49021,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.4,37322,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.4,43260,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.4,48481,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.4,52937,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.45,37916,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.45,44984,"quantile","forecast"
"2021-11-01","3 wk ahead inc case","2021-11-20","IT",0.45,51351,"quantile","forecast"
"2021-11-01","4 wk ahead inc case","2021-11-27","IT",0.45,56896,"quantile","forecast"
"2021-11-01","1 wk ahead inc case","2021-11-06","IT",0.5,38447,"quantile","forecast"
"2021-11-01","2 wk ahead inc case","2021-11-13","IT",0.5,46560,"quantile","forecast"
