forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-02-14,1 wk ahead inc death,2021-02-20,DE,point,NA,3057,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.01,2487,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.025,2509,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.05,2526,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.1,2629,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.15,2756,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.2,2790,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.25,2870,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.3,2915,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.35,2951,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.4,2965,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.45,3012,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.5,3057,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.55,3083,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.6,3119,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.65,3208,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.7,3232,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.75,3379,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.8,3497,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.85,3584,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.9,3829,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.95,4554,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.975,5138,forecast
2021-02-14,1 wk ahead inc death,2021-02-20,DE,quantile,0.99,5603,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,point,NA,2496,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.01,1926,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.025,1950,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.05,1969,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.1,2097,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.15,2229,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.2,2241,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.25,2351,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.3,2386,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.35,2393,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.4,2416,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.45,2486,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.5,2496,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.55,2523,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.6,2528,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.65,2583,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.7,2648,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.75,2674,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.8,2877,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.85,3024,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.9,3258,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.95,3965,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.975,4486,forecast
2021-02-14,2 wk ahead inc death,2021-02-27,DE,quantile,0.99,5037,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,point,NA,2102,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.01,359,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.025,576,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.05,759,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.1,1508,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.15,1566,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.2,1704,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.25,1835,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.3,1907,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.35,1965,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.4,1998,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.45,2027,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.5,2102,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.55,2129,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.6,2189,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.65,2213,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.7,2271,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.75,2414,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.8,2538,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.85,2627,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.9,2798,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.95,3573,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.975,4016,forecast
2021-02-14,3 wk ahead inc death,2021-03-06,DE,quantile,0.99,4649,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,point,NA,1732,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.01,0,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.025,0,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.05,246,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.1,1103,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.15,1167,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.2,1315,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.25,1438,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.3,1556,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.35,1595,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.4,1604,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.45,1697,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.5,1732,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.55,1865,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.6,2035,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.65,2163,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.7,2204,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.75,2235,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.8,2339,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.85,2391,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.9,2486,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.95,3188,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.975,3714,forecast
2021-02-14,4 wk ahead inc death,2021-03-13,DE,quantile,0.99,4285,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,point,NA,47351,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.01,40231,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.025,40422,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.05,40685,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.1,41142,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.15,41580,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.2,42029,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.25,43039,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.3,43194,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.35,45184,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.4,45340,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.45,46193,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.5,47351,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.55,48598,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.6,48727,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.65,49438,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.7,50034,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.75,51254,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.8,51935,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.85,54948,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.9,55011,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.95,56396,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.975,57118,forecast
2021-02-14,1 wk ahead inc case,2021-02-20,DE,quantile,0.99,58083,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,point,NA,39678,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.01,8099,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.025,10827,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.05,11426,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.1,18380,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.15,25753,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.2,34406,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.25,35189,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.3,35590,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.35,35976,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.4,36951,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.45,38999,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.5,39678,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.55,41637,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.6,42750,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.65,43948,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.7,45020,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.75,45632,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.8,48711,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.85,50055,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.9,51480,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.95,51918,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.975,53752,forecast
2021-02-14,2 wk ahead inc case,2021-02-27,DE,quantile,0.99,55831,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,point,NA,32832,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.01,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.025,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.05,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.1,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.15,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.2,0,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.25,7356,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.3,27670,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.35,29272,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.4,29855,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.45,30751,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.5,32832,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.55,33165,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.6,34378,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.65,36544,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.7,37403,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.75,38747,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.8,39389,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.85,39883,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.9,41619,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.95,43642,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.975,44196,forecast
2021-02-14,3 wk ahead inc case,2021-03-06,DE,quantile,0.99,47395,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,point,NA,27088,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.01,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.025,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.05,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.1,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.15,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.2,0,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.25,5704,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.3,23074,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.35,24028,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.4,24527,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.45,25425,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.5,27088,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.55,27599,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.6,28571,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.65,29963,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.7,31461,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.75,32889,forecast
2021-02-14,4 wk ahead inc case,2021-03-13,DE,quantile,0.8,33520,forecast
