forecast_date,target,target_end_date,location,type,quantile,value
2021-04-04,1 wk ahead inc case,2021-04-10,AT,quantile,0.01,15168
2021-04-04,1 wk ahead inc case,2021-04-10,BE,quantile,0.01,21088
2021-04-04,1 wk ahead inc case,2021-04-10,BG,quantile,0.01,0
2021-04-04,1 wk ahead inc case,2021-04-10,HR,quantile,0.01,6212
2021-04-04,1 wk ahead inc case,2021-04-10,CY,quantile,0.01,1597
2021-04-04,1 wk ahead inc case,2021-04-10,CZ,quantile,0.01,28419
2021-04-04,1 wk ahead inc case,2021-04-10,DK,quantile,0.01,4397
2021-04-04,1 wk ahead inc case,2021-04-10,EE,quantile,0.01,3286
2021-04-04,1 wk ahead inc case,2021-04-10,FI,quantile,0.01,1875
2021-04-04,1 wk ahead inc case,2021-04-10,FR,quantile,0.01,178230
2021-04-04,1 wk ahead inc case,2021-04-10,DE,quantile,0.01,72166
2021-04-04,1 wk ahead inc case,2021-04-10,GR,quantile,0.01,15759
2021-04-04,1 wk ahead inc case,2021-04-10,HU,quantile,0.01,24844
2021-04-04,1 wk ahead inc case,2021-04-10,IS,quantile,0.01,0
2021-04-04,1 wk ahead inc case,2021-04-10,IE,quantile,0.01,1925
2021-04-04,1 wk ahead inc case,2021-04-10,IT,quantile,0.01,108191
2021-04-04,1 wk ahead inc case,2021-04-10,LV,quantile,0.01,2813
2021-04-04,1 wk ahead inc case,2021-04-10,LI,quantile,0.01,16
2021-04-04,1 wk ahead inc case,2021-04-10,LT,quantile,0.01,241
2021-04-04,1 wk ahead inc case,2021-04-10,LU,quantile,0.01,946
2021-04-04,1 wk ahead inc case,2021-04-10,MT,quantile,0.01,0
2021-04-04,1 wk ahead inc case,2021-04-10,NL,quantile,0.01,28988
2021-04-04,1 wk ahead inc case,2021-04-10,NO,quantile,0.01,0
2021-04-04,1 wk ahead inc case,2021-04-10,PL,quantile,0.01,127334
2021-04-04,1 wk ahead inc case,2021-04-10,PT,quantile,0.01,2514
2021-04-04,1 wk ahead inc case,2021-04-10,RO,quantile,0.01,24524
2021-04-04,1 wk ahead inc case,2021-04-10,SK,quantile,0.01,6027
2021-04-04,1 wk ahead inc case,2021-04-10,SI,quantile,0.01,2943
