target,forecast_date,target_end_date,location,type,quantile,value,scenario_id
1 wk ahead inc death,2021-03-29,2021-04-03,AT,point,NA,203.3,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,AT,point,NA,247.2,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,AT,point,NA,278.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,AT,point,NA,303.2,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,BE,point,NA,232.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,BE,point,NA,266.8,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,BE,point,NA,290.3,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,BE,point,NA,319.7,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,BG,point,NA,717.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,BG,point,NA,734.2,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,BG,point,NA,725.3,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,BG,point,NA,715.1,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,CH,point,NA,133.9,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,CH,point,NA,166.6,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,CH,point,NA,201.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,CH,point,NA,235.1,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,CY,point,NA,16.4,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,CY,point,NA,18,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,CY,point,NA,19.7,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,CY,point,NA,20.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,CZ,point,NA,1175.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,CZ,point,NA,1088.7,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,CZ,point,NA,1014,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,CZ,point,NA,962,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,DE,point,NA,1265.8,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,DE,point,NA,1448.3,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,DE,point,NA,1663.5,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,DE,point,NA,1843,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,DK,point,NA,25.1,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,DK,point,NA,30.5,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,DK,point,NA,40.3,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,DK,point,NA,50.9,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,EE,point,NA,89.9,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,EE,point,NA,91.1,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,EE,point,NA,89.9,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,EE,point,NA,88.5,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,ES,point,NA,2256.1,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,ES,point,NA,2645,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,ES,point,NA,2821.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,ES,point,NA,2897.9,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,FI,point,NA,19.3,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,FI,point,NA,20,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,FI,point,NA,21.5,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,FI,point,NA,23.2,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,FR,point,NA,2603.2,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,FR,point,NA,2863,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,FR,point,NA,3062.7,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,FR,point,NA,3142.6,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,GB,point,NA,364.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,GB,point,NA,461.5,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,GB,point,NA,641.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,GB,point,NA,879.2,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,GR,point,NA,453.3,forecast
