forecast_date,location,target_end_date,value,target,type,scenario_id,quantile
2021-04-19,AT,2021-04-24,201,1 wk ahead inc death,point,forecast,NA
2021-04-19,AT,2021-05-01,181,2 wk ahead inc death,point,forecast,NA
2021-04-19,AT,2021-05-08,165,3 wk ahead inc death,point,forecast,NA
2021-04-19,AT,2021-05-15,163,4 wk ahead inc death,point,forecast,NA
2021-04-19,BE,2021-04-24,277,1 wk ahead inc death,point,forecast,NA
2021-04-19,BE,2021-05-01,265,2 wk ahead inc death,point,forecast,NA
2021-04-19,BE,2021-05-08,259,3 wk ahead inc death,point,forecast,NA
2021-04-19,BE,2021-05-15,270,4 wk ahead inc death,point,forecast,NA
2021-04-19,BG,2021-04-24,679,1 wk ahead inc death,point,forecast,NA
2021-04-19,BG,2021-05-01,572,2 wk ahead inc death,point,forecast,NA
2021-04-19,BG,2021-05-08,488,3 wk ahead inc death,point,forecast,NA
2021-04-19,BG,2021-05-15,437,4 wk ahead inc death,point,forecast,NA
2021-04-19,CH,2021-04-24,63,1 wk ahead inc death,point,forecast,NA
2021-04-19,CH,2021-05-01,66,2 wk ahead inc death,point,forecast,NA
2021-04-19,CH,2021-05-08,71,3 wk ahead inc death,point,forecast,NA
2021-04-19,CH,2021-05-15,76,4 wk ahead inc death,point,forecast,NA
2021-04-19,CY,2021-04-24,23,1 wk ahead inc death,point,forecast,NA
2021-04-19,CY,2021-05-01,27,2 wk ahead inc death,point,forecast,NA
2021-04-19,CY,2021-05-08,30,3 wk ahead inc death,point,forecast,NA
2021-04-19,CY,2021-05-15,31,4 wk ahead inc death,point,forecast,NA
2021-04-19,CZ,2021-04-24,505,1 wk ahead inc death,point,forecast,NA
2021-04-19,CZ,2021-05-01,383,2 wk ahead inc death,point,forecast,NA
2021-04-19,CZ,2021-05-08,335,3 wk ahead inc death,point,forecast,NA
2021-04-19,CZ,2021-05-15,315,4 wk ahead inc death,point,forecast,NA
2021-04-19,DE,2021-04-24,2143,1 wk ahead inc death,point,forecast,NA
2021-04-19,DE,2021-05-01,2745,2 wk ahead inc death,point,forecast,NA
2021-04-19,DE,2021-05-08,3342,3 wk ahead inc death,point,forecast,NA
2021-04-19,DE,2021-05-15,3838,4 wk ahead inc death,point,forecast,NA
2021-04-19,DK,2021-04-24,14,1 wk ahead inc death,point,forecast,NA
2021-04-19,DK,2021-05-01,20,2 wk ahead inc death,point,forecast,NA
2021-04-19,DK,2021-05-08,23,3 wk ahead inc death,point,forecast,NA
2021-04-19,DK,2021-05-15,28,4 wk ahead inc death,point,forecast,NA
2021-04-19,EE,2021-04-24,53,1 wk ahead inc death,point,forecast,NA
2021-04-19,EE,2021-05-01,42,2 wk ahead inc death,point,forecast,NA
2021-04-19,EE,2021-05-08,36,3 wk ahead inc death,point,forecast,NA
2021-04-19,EE,2021-05-15,32,4 wk ahead inc death,point,forecast,NA
2021-04-19,ES,2021-04-24,640,1 wk ahead inc death,point,forecast,NA
2021-04-19,ES,2021-05-01,656,2 wk ahead inc death,point,forecast,NA
2021-04-19,ES,2021-05-08,723,3 wk ahead inc death,point,forecast,NA
2021-04-19,ES,2021-05-15,719,4 wk ahead inc death,point,forecast,NA
2021-04-19,FI,2021-04-24,9,1 wk ahead inc death,point,forecast,NA
2021-04-19,FI,2021-05-01,0,2 wk ahead inc death,point,forecast,NA
2021-04-19,FI,2021-05-08,0,3 wk ahead inc death,point,forecast,NA
2021-04-19,FI,2021-05-15,0,4 wk ahead inc death,point,forecast,NA
2021-04-19,FR,2021-04-24,2399,1 wk ahead inc death,point,forecast,NA
2021-04-19,FR,2021-05-01,2505,2 wk ahead inc death,point,forecast,NA
2021-04-19,FR,2021-05-08,2639,3 wk ahead inc death,point,forecast,NA
2021-04-19,FR,2021-05-15,2769,4 wk ahead inc death,point,forecast,NA
2021-04-19,GB,2021-04-24,114,1 wk ahead inc death,point,forecast,NA
2021-04-19,GB,2021-05-01,165,2 wk ahead inc death,point,forecast,NA
2021-04-19,GB,2021-05-08,274,3 wk ahead inc death,point,forecast,NA
2021-04-19,GB,2021-05-15,425,4 wk ahead inc death,point,forecast,NA
2021-04-19,GR,2021-04-24,575,1 wk ahead inc death,point,forecast,NA
2021-04-19,GR,2021-05-01,567,2 wk ahead inc death,point,forecast,NA
2021-04-19,GR,2021-05-08,544,3 wk ahead inc death,point,forecast,NA
2021-04-19,GR,2021-05-15,516,4 wk ahead inc death,point,forecast,NA
2021-04-19,HR,2021-04-24,286,1 wk ahead inc death,point,forecast,NA
2021-04-19,HR,2021-05-01,307,2 wk ahead inc death,point,forecast,NA
2021-04-19,HR,2021-05-08,315,3 wk ahead inc death,point,forecast,NA
2021-04-19,HR,2021-05-15,319,4 wk ahead inc death,point,forecast,NA
2021-04-19,HU,2021-04-24,1571,1 wk ahead inc death,point,forecast,NA
2021-04-19,HU,2021-05-01,1335,2 wk ahead inc death,point,forecast,NA
2021-04-19,HU,2021-05-08,1172,3 wk ahead inc death,point,forecast,NA
2021-04-19,HU,2021-05-15,1041,4 wk ahead inc death,point,forecast,NA
2021-04-19,IE,2021-04-24,51,1 wk ahead inc death,point,forecast,NA
2021-04-19,IE,2021-05-01,46,2 wk ahead inc death,point,forecast,NA
2021-04-19,IE,2021-05-08,50,3 wk ahead inc death,point,forecast,NA
2021-04-19,IE,2021-05-15,55,4 wk ahead inc death,point,forecast,NA
2021-04-19,IS,2021-04-24,0,1 wk ahead inc death,point,forecast,NA
2021-04-19,IS,2021-05-01,0,2 wk ahead inc death,point,forecast,NA
2021-04-19,IS,2021-05-08,0,3 wk ahead inc death,point,forecast,NA
2021-04-19,IS,2021-05-15,0,4 wk ahead inc death,point,forecast,NA
2021-04-19,IT,2021-04-24,2512,1 wk ahead inc death,point,forecast,NA
2021-04-19,IT,2021-05-01,2260,2 wk ahead inc death,point,forecast,NA
2021-04-19,IT,2021-05-08,2165,3 wk ahead inc death,point,forecast,NA
2021-04-19,IT,2021-05-15,2118,4 wk ahead inc death,point,forecast,NA
2021-04-19,LI,2021-04-24,1,1 wk ahead inc death,point,forecast,NA
2021-04-19,LI,2021-05-01,1,2 wk ahead inc death,point,forecast,NA
2021-04-19,LI,2021-05-08,2,3 wk ahead inc death,point,forecast,NA
2021-04-19,LI,2021-05-15,2,4 wk ahead inc death,point,forecast,NA
2021-04-19,LT,2021-04-24,83,1 wk ahead inc death,point,forecast,NA
2021-04-19,LT,2021-05-01,90,2 wk ahead inc death,point,forecast,NA
2021-04-19,LT,2021-05-08,100,3 wk ahead inc death,point,forecast,NA
2021-04-19,LT,2021-05-15,101,4 wk ahead inc death,point,forecast,NA
2021-04-19,LU,2021-04-24,20,1 wk ahead inc death,point,forecast,NA
2021-04-19,LU,2021-05-01,18,2 wk ahead inc death,point,forecast,NA
2021-04-19,LU,2021-05-08,17,3 wk ahead inc death,point,forecast,NA
2021-04-19,LU,2021-05-15,15,4 wk ahead inc death,point,forecast,NA
2021-04-19,LV,2021-04-24,65,1 wk ahead inc death,point,forecast,NA
2021-04-19,LV,2021-05-01,69,2 wk ahead inc death,point,forecast,NA
2021-04-19,LV,2021-05-08,72,3 wk ahead inc death,point,forecast,NA
2021-04-19,LV,2021-05-15,74,4 wk ahead inc death,point,forecast,NA
2021-04-19,MT,2021-04-24,8,1 wk ahead inc death,point,forecast,NA
2021-04-19,MT,2021-05-01,9,2 wk ahead inc death,point,forecast,NA
2021-04-19,MT,2021-05-08,9,3 wk ahead inc death,point,forecast,NA
2021-04-19,MT,2021-05-15,9,4 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-04-24,209,1 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-01,280,2 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-08,353,3 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-15,412,4 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-04-24,22,1 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-01,22,2 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-08,22,3 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-15,21,4 wk ahead inc death,point,forecast,NA
2021-04-19,PL,2021-04-24,3602,1 wk ahead inc death,point,forecast,NA
