forecast_date,location,variable,target_end_date,value,target,type,scenario_id,quantile
2021-04-26,AT,deaths,2021-05-01,178.9558655563024,1 wk ahead inc death,point,forecast,NA
2021-04-26,AT,deaths,2021-05-08,172.7338605241401,2 wk ahead inc death,point,forecast,NA
2021-04-26,AT,deaths,2021-05-15,169.55701451635508,3 wk ahead inc death,point,forecast,NA
2021-04-26,AT,deaths,2021-05-22,169.79610333358426,4 wk ahead inc death,point,forecast,NA
2021-04-26,BE,deaths,2021-05-01,279.1002361030725,1 wk ahead inc death,point,forecast,NA
2021-04-26,BE,deaths,2021-05-08,289.12836605319325,2 wk ahead inc death,point,forecast,NA
2021-04-26,BE,deaths,2021-05-15,301.24524805483605,3 wk ahead inc death,point,forecast,NA
2021-04-26,BE,deaths,2021-05-22,306.45083235901916,4 wk ahead inc death,point,forecast,NA
2021-04-26,BG,deaths,2021-05-01,606.719182289941,1 wk ahead inc death,point,forecast,NA
2021-04-26,BG,deaths,2021-05-08,520.8783472471001,2 wk ahead inc death,point,forecast,NA
2021-04-26,BG,deaths,2021-05-15,457.28686909251314,3 wk ahead inc death,point,forecast,NA
2021-04-26,BG,deaths,2021-05-22,415.5927165425294,4 wk ahead inc death,point,forecast,NA
2021-04-26,CH,deaths,2021-05-01,108.33106076041369,1 wk ahead inc death,point,forecast,NA
2021-04-26,CH,deaths,2021-05-08,113.59324107483889,2 wk ahead inc death,point,forecast,NA
2021-04-26,CH,deaths,2021-05-15,107.6405504217178,3 wk ahead inc death,point,forecast,NA
2021-04-26,CH,deaths,2021-05-22,103.97893594972696,4 wk ahead inc death,point,forecast,NA
2021-04-26,CY,deaths,2021-05-01,14.550487295323709,1 wk ahead inc death,point,forecast,NA
2021-04-26,CY,deaths,2021-05-08,19.130377337302892,2 wk ahead inc death,point,forecast,NA
2021-04-26,CY,deaths,2021-05-15,22.9309428165448,3 wk ahead inc death,point,forecast,NA
2021-04-26,CY,deaths,2021-05-22,24.99400679184077,4 wk ahead inc death,point,forecast,NA
2021-04-26,CZ,deaths,2021-05-01,416.79896679848633,1 wk ahead inc death,point,forecast,NA
2021-04-26,CZ,deaths,2021-05-08,337.3148436794625,2 wk ahead inc death,point,forecast,NA
2021-04-26,CZ,deaths,2021-05-15,289.2544956051233,3 wk ahead inc death,point,forecast,NA
2021-04-26,CZ,deaths,2021-05-22,263.6121250215719,4 wk ahead inc death,point,forecast,NA
2021-04-26,DE,deaths,2021-05-01,2048.3809036554585,1 wk ahead inc death,point,forecast,NA
2021-04-26,DE,deaths,2021-05-08,2432.440971652518,2 wk ahead inc death,point,forecast,NA
2021-04-26,DE,deaths,2021-05-15,2676.7331053137113,3 wk ahead inc death,point,forecast,NA
2021-04-26,DE,deaths,2021-05-22,2789.475763410565,4 wk ahead inc death,point,forecast,NA
2021-04-26,DK,deaths,2021-05-01,23.387981667128944,1 wk ahead inc death,point,forecast,NA
2021-04-26,DK,deaths,2021-05-08,25.244830375640866,2 wk ahead inc death,point,forecast,NA
2021-04-26,DK,deaths,2021-05-15,26.919927025799243,3 wk ahead inc death,point,forecast,NA
2021-04-26,DK,deaths,2021-05-22,27.451930408531545,4 wk ahead inc death,point,forecast,NA
2021-04-26,EE,deaths,2021-05-01,48.09132586586898,1 wk ahead inc death,point,forecast,NA
2021-04-26,EE,deaths,2021-05-08,41.97522416143666,2 wk ahead inc death,point,forecast,NA
2021-04-26,EE,deaths,2021-05-15,36.47296485588399,3 wk ahead inc death,point,forecast,NA
2021-04-26,EE,deaths,2021-05-22,33.68000868635006,4 wk ahead inc death,point,forecast,NA
2021-04-26,ES,deaths,2021-05-01,602.2464694380968,1 wk ahead inc death,point,forecast,NA
2021-04-26,ES,deaths,2021-05-08,663.2079287784218,2 wk ahead inc death,point,forecast,NA
2021-04-26,ES,deaths,2021-05-15,684.6253227215012,3 wk ahead inc death,point,forecast,NA
2021-04-26,ES,deaths,2021-05-22,698.0384303709338,4 wk ahead inc death,point,forecast,NA
2021-04-26,FI,deaths,2021-05-01,11.161612806543298,1 wk ahead inc death,point,forecast,NA
2021-04-26,FI,deaths,2021-05-08,9.261691503354822,2 wk ahead inc death,point,forecast,NA
2021-04-26,FI,deaths,2021-05-15,9.091999444510778,3 wk ahead inc death,point,forecast,NA
2021-04-26,FI,deaths,2021-05-22,10.05936553558328,4 wk ahead inc death,point,forecast,NA
2021-04-26,FR,deaths,2021-05-01,2048.7227022889,1 wk ahead inc death,point,forecast,NA
2021-04-26,FR,deaths,2021-05-08,1993.2601338656887,2 wk ahead inc death,point,forecast,NA
2021-04-26,FR,deaths,2021-05-15,1940.6307259158548,3 wk ahead inc death,point,forecast,NA
2021-04-26,FR,deaths,2021-05-22,1839.3962129121905,4 wk ahead inc death,point,forecast,NA
2021-04-26,GB,deaths,2021-05-01,148.45132996854517,1 wk ahead inc death,point,forecast,NA
2021-04-26,GB,deaths,2021-05-08,162.77017607613257,2 wk ahead inc death,point,forecast,NA
2021-04-26,GB,deaths,2021-05-15,179.60600732495618,3 wk ahead inc death,point,forecast,NA
2021-04-26,GB,deaths,2021-05-22,193.06363878994784,4 wk ahead inc death,point,forecast,NA
2021-04-26,GR,deaths,2021-05-01,550.4405663982583,1 wk ahead inc death,point,forecast,NA
2021-04-26,GR,deaths,2021-05-08,524.7065476065894,2 wk ahead inc death,point,forecast,NA
2021-04-26,GR,deaths,2021-05-15,497.4738328953407,3 wk ahead inc death,point,forecast,NA
