forecast_date,location,target,target_end_date,type,scenario_id,quantile,value
2021-08-09,AT,1 wk ahead inc death,2021-08-14,point,forecast,NA,16
2021-08-09,AT,2 wk ahead inc death,2021-08-21,point,forecast,NA,18
2021-08-09,AT,3 wk ahead inc death,2021-08-28,point,forecast,NA,18
2021-08-09,AT,4 wk ahead inc death,2021-09-04,point,forecast,NA,18
2021-08-09,BE,1 wk ahead inc death,2021-08-14,point,forecast,NA,32
2021-08-09,BE,2 wk ahead inc death,2021-08-21,point,forecast,NA,35
2021-08-09,BE,3 wk ahead inc death,2021-08-28,point,forecast,NA,36
2021-08-09,BE,4 wk ahead inc death,2021-09-04,point,forecast,NA,36
2021-08-09,BG,1 wk ahead inc death,2021-08-14,point,forecast,NA,48
2021-08-09,BG,2 wk ahead inc death,2021-08-21,point,forecast,NA,52
2021-08-09,BG,3 wk ahead inc death,2021-08-28,point,forecast,NA,53
2021-08-09,BG,4 wk ahead inc death,2021-09-04,point,forecast,NA,52
2021-08-09,CH,1 wk ahead inc death,2021-08-14,point,forecast,NA,16
2021-08-09,CH,2 wk ahead inc death,2021-08-21,point,forecast,NA,17
2021-08-09,CH,3 wk ahead inc death,2021-08-28,point,forecast,NA,18
2021-08-09,CH,4 wk ahead inc death,2021-09-04,point,forecast,NA,17
2021-08-09,CY,1 wk ahead inc death,2021-08-14,point,forecast,NA,17
2021-08-09,CY,2 wk ahead inc death,2021-08-21,point,forecast,NA,16
2021-08-09,CY,3 wk ahead inc death,2021-08-28,point,forecast,NA,15
2021-08-09,CY,4 wk ahead inc death,2021-09-04,point,forecast,NA,14
2021-08-09,CZ,1 wk ahead inc death,2021-08-14,point,forecast,NA,1
2021-08-09,CZ,2 wk ahead inc death,2021-08-21,point,forecast,NA,0
2021-08-09,CZ,3 wk ahead inc death,2021-08-28,point,forecast,NA,0
2021-08-09,CZ,4 wk ahead inc death,2021-09-04,point,forecast,NA,0
2021-08-09,DE,1 wk ahead inc death,2021-08-14,point,forecast,NA,136
2021-08-09,DE,2 wk ahead inc death,2021-08-21,point,forecast,NA,149
2021-08-09,DE,3 wk ahead inc death,2021-08-28,point,forecast,NA,163
2021-08-09,DE,4 wk ahead inc death,2021-09-04,point,forecast,NA,171
2021-08-09,DK,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,DK,2 wk ahead inc death,2021-08-21,point,forecast,NA,3
2021-08-09,DK,3 wk ahead inc death,2021-08-28,point,forecast,NA,3
2021-08-09,DK,4 wk ahead inc death,2021-09-04,point,forecast,NA,3
2021-08-09,EE,1 wk ahead inc death,2021-08-14,point,forecast,NA,6
2021-08-09,EE,2 wk ahead inc death,2021-08-21,point,forecast,NA,7
2021-08-09,EE,3 wk ahead inc death,2021-08-28,point,forecast,NA,7
2021-08-09,EE,4 wk ahead inc death,2021-09-04,point,forecast,NA,7
2021-08-09,ES,1 wk ahead inc death,2021-08-14,point,forecast,NA,574
2021-08-09,ES,2 wk ahead inc death,2021-08-21,point,forecast,NA,629
2021-08-09,ES,3 wk ahead inc death,2021-08-28,point,forecast,NA,629
2021-08-09,ES,4 wk ahead inc death,2021-09-04,point,forecast,NA,606
2021-08-09,FI,1 wk ahead inc death,2021-08-14,point,forecast,NA,8
2021-08-09,FI,2 wk ahead inc death,2021-08-21,point,forecast,NA,10
2021-08-09,FI,3 wk ahead inc death,2021-08-28,point,forecast,NA,10
2021-08-09,FI,4 wk ahead inc death,2021-09-04,point,forecast,NA,11
2021-08-09,FR,1 wk ahead inc death,2021-08-14,point,forecast,NA,368
2021-08-09,FR,2 wk ahead inc death,2021-08-21,point,forecast,NA,404
2021-08-09,FR,3 wk ahead inc death,2021-08-28,point,forecast,NA,422
2021-08-09,FR,4 wk ahead inc death,2021-09-04,point,forecast,NA,425
2021-08-09,GB,1 wk ahead inc death,2021-08-14,point,forecast,NA,697
2021-08-09,GB,2 wk ahead inc death,2021-08-21,point,forecast,NA,725
2021-08-09,GB,3 wk ahead inc death,2021-08-28,point,forecast,NA,729
2021-08-09,GB,4 wk ahead inc death,2021-09-04,point,forecast,NA,722
2021-08-09,GR,1 wk ahead inc death,2021-08-14,point,forecast,NA,121
2021-08-09,GR,2 wk ahead inc death,2021-08-21,point,forecast,NA,137
2021-08-09,GR,3 wk ahead inc death,2021-08-28,point,forecast,NA,145
2021-08-09,GR,4 wk ahead inc death,2021-09-04,point,forecast,NA,146
2021-08-09,HR,1 wk ahead inc death,2021-08-14,point,forecast,NA,10
2021-08-09,HR,2 wk ahead inc death,2021-08-21,point,forecast,NA,8
2021-08-09,HR,3 wk ahead inc death,2021-08-28,point,forecast,NA,8
2021-08-09,HR,4 wk ahead inc death,2021-09-04,point,forecast,NA,7
2021-08-09,HU,1 wk ahead inc death,2021-08-14,point,forecast,NA,7
2021-08-09,HU,2 wk ahead inc death,2021-08-21,point,forecast,NA,7
2021-08-09,HU,3 wk ahead inc death,2021-08-28,point,forecast,NA,7
2021-08-09,HU,4 wk ahead inc death,2021-09-04,point,forecast,NA,7
2021-08-09,IE,1 wk ahead inc death,2021-08-14,point,forecast,NA,14
2021-08-09,IE,2 wk ahead inc death,2021-08-21,point,forecast,NA,16
2021-08-09,IE,3 wk ahead inc death,2021-08-28,point,forecast,NA,18
2021-08-09,IE,4 wk ahead inc death,2021-09-04,point,forecast,NA,18
2021-08-09,IS,1 wk ahead inc death,2021-08-14,point,forecast,NA,1
2021-08-09,IS,2 wk ahead inc death,2021-08-21,point,forecast,NA,2
2021-08-09,IS,3 wk ahead inc death,2021-08-28,point,forecast,NA,2
2021-08-09,IS,4 wk ahead inc death,2021-09-04,point,forecast,NA,3
2021-08-09,IT,1 wk ahead inc death,2021-08-14,point,forecast,NA,181
2021-08-09,IT,2 wk ahead inc death,2021-08-21,point,forecast,NA,195
2021-08-09,IT,3 wk ahead inc death,2021-08-28,point,forecast,NA,197
2021-08-09,IT,4 wk ahead inc death,2021-09-04,point,forecast,NA,195
2021-08-09,LI,1 wk ahead inc death,2021-08-14,point,forecast,NA,0
2021-08-09,LI,2 wk ahead inc death,2021-08-21,point,forecast,NA,0
2021-08-09,LI,3 wk ahead inc death,2021-08-28,point,forecast,NA,0
2021-08-09,LI,4 wk ahead inc death,2021-09-04,point,forecast,NA,0
2021-08-09,LT,1 wk ahead inc death,2021-08-14,point,forecast,NA,12
2021-08-09,LT,2 wk ahead inc death,2021-08-21,point,forecast,NA,12
2021-08-09,LT,3 wk ahead inc death,2021-08-28,point,forecast,NA,12
2021-08-09,LT,4 wk ahead inc death,2021-09-04,point,forecast,NA,12
2021-08-09,LU,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,LU,2 wk ahead inc death,2021-08-21,point,forecast,NA,3
2021-08-09,LU,3 wk ahead inc death,2021-08-28,point,forecast,NA,3
2021-08-09,LU,4 wk ahead inc death,2021-09-04,point,forecast,NA,3
2021-08-09,LV,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,LV,2 wk ahead inc death,2021-08-21,point,forecast,NA,3
2021-08-09,LV,3 wk ahead inc death,2021-08-28,point,forecast,NA,3
2021-08-09,LV,4 wk ahead inc death,2021-09-04,point,forecast,NA,3
2021-08-09,MT,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,MT,2 wk ahead inc death,2021-08-21,point,forecast,NA,3
2021-08-09,MT,3 wk ahead inc death,2021-08-28,point,forecast,NA,3
2021-08-09,MT,4 wk ahead inc death,2021-09-04,point,forecast,NA,2
2021-08-09,NL,1 wk ahead inc death,2021-08-14,point,forecast,NA,64
2021-08-09,NL,2 wk ahead inc death,2021-08-21,point,forecast,NA,72
2021-08-09,NL,3 wk ahead inc death,2021-08-28,point,forecast,NA,75
2021-08-09,NL,4 wk ahead inc death,2021-09-04,point,forecast,NA,76
2021-08-09,NO,1 wk ahead inc death,2021-08-14,point,forecast,NA,5
2021-08-09,NO,2 wk ahead inc death,2021-08-21,point,forecast,NA,5
2021-08-09,NO,3 wk ahead inc death,2021-08-28,point,forecast,NA,5
2021-08-09,NO,4 wk ahead inc death,2021-09-04,point,forecast,NA,5
2021-08-09,PL,1 wk ahead inc death,2021-08-14,point,forecast,NA,25
2021-08-09,PL,2 wk ahead inc death,2021-08-21,point,forecast,NA,27
2021-08-09,PL,3 wk ahead inc death,2021-08-28,point,forecast,NA,27
2021-08-09,PL,4 wk ahead inc death,2021-09-04,point,forecast,NA,27
2021-08-09,PT,1 wk ahead inc death,2021-08-14,point,forecast,NA,103
2021-08-09,PT,2 wk ahead inc death,2021-08-21,point,forecast,NA,106
2021-08-09,PT,3 wk ahead inc death,2021-08-28,point,forecast,NA,106
2021-08-09,PT,4 wk ahead inc death,2021-09-04,point,forecast,NA,105
2021-08-09,RO,1 wk ahead inc death,2021-08-14,point,forecast,NA,37
2021-08-09,RO,2 wk ahead inc death,2021-08-21,point,forecast,NA,39
2021-08-09,RO,3 wk ahead inc death,2021-08-28,point,forecast,NA,37
2021-08-09,RO,4 wk ahead inc death,2021-09-04,point,forecast,NA,35
2021-08-09,SE,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,SE,2 wk ahead inc death,2021-08-21,point,forecast,NA,3
2021-08-09,SE,3 wk ahead inc death,2021-08-28,point,forecast,NA,4
2021-08-09,SE,4 wk ahead inc death,2021-09-04,point,forecast,NA,4
2021-08-09,SI,1 wk ahead inc death,2021-08-14,point,forecast,NA,3
2021-08-09,SI,2 wk ahead inc death,2021-08-21,point,forecast,NA,4
2021-08-09,SI,3 wk ahead inc death,2021-08-28,point,forecast,NA,4
2021-08-09,SI,4 wk ahead inc death,2021-09-04,point,forecast,NA,4
2021-08-09,SK,1 wk ahead inc death,2021-08-14,point,forecast,NA,1
2021-08-09,SK,2 wk ahead inc death,2021-08-21,point,forecast,NA,1
2021-08-09,SK,3 wk ahead inc death,2021-08-28,point,forecast,NA,1
2021-08-09,SK,4 wk ahead inc death,2021-09-04,point,forecast,NA,1
