forecast_date,location,target,target_end_date,type,quantile,value
2021-11-22,AT,1 wk ahead inc death,2021-11-27,point,NA,405
2021-11-22,AT,2 wk ahead inc death,2021-12-04,point,NA,488
2021-11-22,AT,3 wk ahead inc death,2021-12-11,point,NA,544
2021-11-22,AT,4 wk ahead inc death,2021-12-18,point,NA,573
2021-11-22,BE,1 wk ahead inc death,2021-11-27,point,NA,393
2021-11-22,BE,2 wk ahead inc death,2021-12-04,point,NA,531
2021-11-22,BE,3 wk ahead inc death,2021-12-11,point,NA,617
2021-11-22,BE,4 wk ahead inc death,2021-12-18,point,NA,671
2021-11-22,BG,1 wk ahead inc death,2021-11-27,point,NA,875
2021-11-22,BG,2 wk ahead inc death,2021-12-04,point,NA,767
2021-11-22,BG,3 wk ahead inc death,2021-12-11,point,NA,673
2021-11-22,BG,4 wk ahead inc death,2021-12-18,point,NA,604
2021-11-22,CH,1 wk ahead inc death,2021-11-27,point,NA,74
2021-11-22,CH,2 wk ahead inc death,2021-12-04,point,NA,88
2021-11-22,CH,3 wk ahead inc death,2021-12-11,point,NA,101
2021-11-22,CH,4 wk ahead inc death,2021-12-18,point,NA,108
2021-11-22,CY,1 wk ahead inc death,2021-11-27,point,NA,4
2021-11-22,CY,2 wk ahead inc death,2021-12-04,point,NA,6
2021-11-22,CY,3 wk ahead inc death,2021-12-11,point,NA,7
2021-11-22,CY,4 wk ahead inc death,2021-12-18,point,NA,8
2021-11-22,CZ,1 wk ahead inc death,2021-11-27,point,NA,737
2021-11-22,CZ,2 wk ahead inc death,2021-12-04,point,NA,862
2021-11-22,CZ,3 wk ahead inc death,2021-12-11,point,NA,942
2021-11-22,CZ,4 wk ahead inc death,2021-12-18,point,NA,980
2021-11-22,DE,1 wk ahead inc death,2021-11-27,point,NA,2378
2021-11-22,DE,2 wk ahead inc death,2021-12-04,point,NA,3454
2021-11-22,DE,3 wk ahead inc death,2021-12-11,point,NA,4338
2021-11-22,DE,4 wk ahead inc death,2021-12-18,point,NA,4933
2021-11-22,DK,1 wk ahead inc death,2021-11-27,point,NA,68
2021-11-22,DK,2 wk ahead inc death,2021-12-04,point,NA,85
2021-11-22,DK,3 wk ahead inc death,2021-12-11,point,NA,96
2021-11-22,DK,4 wk ahead inc death,2021-12-18,point,NA,103
2021-11-22,EE,1 wk ahead inc death,2021-11-27,point,NA,49
2021-11-22,EE,2 wk ahead inc death,2021-12-04,point,NA,40
2021-11-22,EE,3 wk ahead inc death,2021-12-11,point,NA,34
2021-11-22,EE,4 wk ahead inc death,2021-12-18,point,NA,29
2021-11-22,ES,1 wk ahead inc death,2021-11-27,point,NA,159
2021-11-22,ES,2 wk ahead inc death,2021-12-04,point,NA,194
2021-11-22,ES,3 wk ahead inc death,2021-12-11,point,NA,245
