forecast_date,target,target_end_date,location,type,quantile,value
2021-05-24,1 wk ahead inc case,2021-05-29,AT,point,NA,718.9843060828281
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.025,0.0
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.1,0.0
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.25,0.0
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.5,718.9843060828281
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.75,4106.129316667375
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.9,7154.665485491839
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.975,10561.509309954738
2021-05-24,2 wk ahead inc case,2021-06-05,AT,point,NA,244.59009462280662
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.025,0.0
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.1,0.0
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.25,0.0
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.5,244.59009462280662
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.75,6533.24059905084
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.9,12193.222222493805
2021-05-24,2 wk ahead inc case,2021-06-05,AT,quantile,0.975,18518.44599303404
2021-05-24,3 wk ahead inc case,2021-06-12,AT,point,NA,0.0
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.025,0.0
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.1,0.0
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.25,0.0
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.5,0.0
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.75,7595.989102954783
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.9,14432.616246461055
2021-05-24,3 wk ahead inc case,2021-06-12,AT,quantile,0.975,22072.781779740937
2021-05-24,4 wk ahead inc case,2021-06-19,AT,point,NA,243.4869820427848
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.025,0.0
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.1,0.0
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.25,0.0
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.5,243.4869820427848
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.75,7383.547567319876
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.9,13809.824822588236
2021-05-24,4 wk ahead inc case,2021-06-19,AT,quantile,0.975,20991.410268510503
2021-05-24,1 wk ahead inc case,2021-05-29,BE,point,NA,16178.284375
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.025,8588.649464051014
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.1,11215.688848367834
