"forecast_date","target","target_end_date","location","quantile","value","type","scenario_id"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",NA,106279.806066667,"point","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.01,67126.8,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.025,72553,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.05,76999.85,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.1,82187.9,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.15,85970.55,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.2,88954,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.25,91717,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.3,94224.7,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.35,96630.95,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.4,99057.8,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.45,101500.55,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.5,103999.5,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.55,106453,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.6,109173.8,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.65,111971.35,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.7,114850.3,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.75,118208.25,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.8,122283.4,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.85,127444.15,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.9,133602.4,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.95,143408.3,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.975,152810.725,"quantile","forecast"
2021-04-25,"1 wk ahead inc case","2021-05-01","IT",0.99,164287.18,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",NA,1921.3409,"point","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.01,1430,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.025,1495,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.05,1556,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.1,1631,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.15,1679,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.2,1721,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.25,1756,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.3,1788,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.35,1820,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.4,1849,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.45,1879,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.5,1908,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.55,1938,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.6,1969,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.65,2001,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.7,2035,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.75,2072,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.8,2113,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.85,2160,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.9,2223,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.95,2321,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.975,2415,"quantile","forecast"
2021-04-25,"1 wk ahead inc death","2021-05-01","IT",0.99,2550,"quantile","forecast"
