forecast_date,target,target_end_date,location,quantile,value,type,scenario_id
2021-05-16,1 wk ahead inc case,2021-05-22,IT,NA,43125,point,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.01,32540,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.025,34078,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.05,35480,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.1,37019,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.15,38057,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.2,38890,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.25,39616,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.3,40249,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.35,40846,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.4,41427,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.45,42015,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.5,42594,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.55,43176,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.6,43754,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.65,44371,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.7,45044,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.75,45802,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.8,46670,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.85,47821,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.9,49343,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.95,51919,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.975,55034,quantile,forecast
2021-05-16,1 wk ahead inc case,2021-05-22,IT,0.99,61794,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,NA,1094,point,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.01,774,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.025,820,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.05,862,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.1,911,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.15,944,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.2,971,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.25,993,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.3,1013,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.35,1032,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.4,1050,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.45,1069,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.5,1087,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.55,1105,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.6,1124,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.65,1142,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.7,1162,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.75,1186,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.8,1213,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.85,1244,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.9,1285,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.95,1351,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.975,1412,quantile,forecast
2021-05-16,1 wk ahead inc death,2021-05-22,IT,0.99,1502,quantile,forecast
