forecast_date,target,target_end_date,location,quantile,value,type
2021-11-07,1 wk ahead inc case,2021-11-13,IT,NA,47331,point
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.01,35560,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.025,37458,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.05,38940,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.1,40630,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.15,41774,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.2,42704,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.25,43508,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.3,44234,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.35,44935,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.4,45582,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.45,46232,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.5,46886,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.55,47556,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.6,48239,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.65,48972,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.7,49754,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.75,50582,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.8,51577,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.85,52859,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.9,54557,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.95,57317,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.975,60026,quantile
2021-11-07,1 wk ahead inc case,2021-11-13,IT,0.99,63257,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,NA,309,point
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.01,218,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.025,233,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.05,246,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.1,258,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.15,268,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.2,275,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.25,282,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.3,287,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.35,292,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.4,297,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.45,302,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.5,307,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.55,312,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.6,317,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.65,322,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.7,328,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.75,334,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.8,341,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.85,350,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.9,361,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.95,379,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.975,398,quantile
2021-11-07,1 wk ahead inc death,2021-11-13,IT,0.99,428,quantile
