"forecast_date","target","target_end_date","location","quantile","value","type","scenario_id"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",NA,136822,"point","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.01,104515,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.025,108927,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.05,112820,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.1,117663,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.15,121154,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.2,123898,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.25,126300,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.3,128564,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.35,130706,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.4,132799,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.45,134729,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.5,136822,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.55,138830,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.6,140974,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.65,143358,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.7,145830,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.75,148537,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.8,151740,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.85,155598,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.9,160973,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.95,169273,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.975,177338,"quantile","forecast"
2022-09-04,"1 wk ahead inc case","2022-09-10","IT",0.99,188252,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",NA,461,"point","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.01,364,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.025,378,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.05,389,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.1,403,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.15,413,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.2,421,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.25,428,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.3,435,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.35,442,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.4,448,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.45,455,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.5,461,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.55,468,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.6,475,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.65,484,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.7,492,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.75,502,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.8,514,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.85,529,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.9,549,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.95,580,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.975,608,"quantile","forecast"
2022-09-04,"1 wk ahead inc death","2022-09-10","IT",0.99,649,"quantile","forecast"
