forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,point,NA,95173
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.01,84087
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.025,86589
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.05,88201
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.1,89818
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.15,90796
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.2,91620
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.25,92296
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.3,93007
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.35,93483
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.4,94080
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.45,94651
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.5,95173
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.55,95674
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.6,96217
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.65,96741
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.7,97524
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.75,98063
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.8,98941
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.85,99742
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.9,100908
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.95,103150
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.975,104606
2022-06-06,forecast,1 wk ahead inc case,2022-06-11,IT,quantile,0.99,106867
2022-06-06,forecast,1 wk ahead inc hosp,2022-06-11,IT,point,NA,1423
2022-06-06,forecast,1 wk ahead inc hosp,2022-06-11,IT,quantile,0.01,1378
