forecast_date,target,target_end_date,location,type,quantile,value
2022-07-25,1 wk ahead inc case,2022-07-30,IT,point,NA,433266
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.01,322629
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.025,352250
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.05,372150
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.1,388741
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.15,397721
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.2,403108
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.25,408382
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.3,414691
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.35,419737
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.4,424852
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.45,429218
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.5,433266
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.55,438967
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.6,442850
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.65,446815
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.7,453538
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.75,458546
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.8,464848
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.85,470925
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.9,477309
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.95,490942
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.975,501693
2022-07-25,1 wk ahead inc case,2022-07-30,IT,quantile,0.99,516427
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,point,NA,3429
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.01,3265
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.025,3293
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.05,3311
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.1,3336
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.15,3353
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.2,3366
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.25,3378
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.3,3387
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.35,3398
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.4,3409
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.45,3419
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.5,3429
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.55,3438
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.6,3447
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.65,3456
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.7,3468
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.75,3482
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.8,3496
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.85,3508
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.9,3531
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.95,3556
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.975,3577
2022-07-25,1 wk ahead inc hosp,2022-07-30,IT,quantile,0.99,3598
2022-07-25,1 wk ahead inc death,2022-07-30,IT,point,NA,852
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.01,757
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.025,767
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.05,778
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.1,794
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.15,805
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.2,815
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.25,823
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.3,830
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.35,836
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.4,841
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.45,847
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.5,852
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.55,858
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.6,865
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.65,872
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.7,880
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.75,887
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.8,895
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.85,904
2022-07-25,1 wk ahead inc death,2022-07-30,IT,quantile,0.9,914
