forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,point,NA,167152
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.01,157478
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.025,159807
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.05,161238
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.1,162801
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.15,163660
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.2,164324
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.25,164876
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.3,165393
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.35,165897
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.4,166316
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.45,166737
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.5,167152
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.55,167550
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.6,167864
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.65,168219
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.7,168531
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.75,168985
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.8,169571
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.85,170451
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.9,171295
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.95,172799
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.975,173781
2022-08-15,forecast,1 wk ahead inc case,2022-08-20,IT,quantile,0.99,175827
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,point,NA,2545
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.01,2464
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.025,2477
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.05,2487
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.1,2500
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.15,2510
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.2,2516
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.25,2522
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.3,2527
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.35,2531
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.4,2536
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.45,2540
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.5,2545
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.55,2549
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.6,2553
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.65,2558
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.7,2563
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.75,2568
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.8,2573
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.85,2580
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.9,2590
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.95,2603
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.975,2611
2022-08-15,forecast,1 wk ahead inc hosp,2022-08-20,IT,quantile,0.99,2630
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,point,NA,841
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.01,771
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.025,779
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.05,788
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.1,798
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.15,806
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.2,813
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.25,819
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.3,824
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.35,829
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.4,832
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.45,837
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.5,841
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.55,846
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.6,849
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.65,853
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.7,858
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.75,864
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.8,870
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.85,876
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.9,884
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.95,896
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.975,904
2022-08-15,forecast,1 wk ahead inc death,2022-08-20,IT,quantile,0.99,910
2022-08-15,forecast,2 wk ahead inc case,2022-08-27,IT,point,NA,120790
