target,target_end_date,location,type,quantile,value,forecast_date,scenario_id
1 wk ahead inc case,2021-04-03,DE,quantile,0.01,101229,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.025,105019,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.05,108412,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.1,112484,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.15,115332,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.2,117655,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.25,119692,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.3,121556,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.35,123313,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.4,125008,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.45,126674,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.5,128338,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.55,130028,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.6,131771,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.65,133601,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.7,135562,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.75,137715,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.8,140160,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.85,143072,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.9,146836,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.95,152626,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.975,157861,2021-03-29,forecast
1 wk ahead inc case,2021-04-03,DE,quantile,0.99,164209,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.01,956,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.025,990,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.05,1021,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.1,1058,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.15,1084,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.2,1105,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.25,1123,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.3,1140,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.35,1156,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.4,1172,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.45,1187,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.5,1202,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.55,1217,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.6,1233,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.65,1249,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.7,1267,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.75,1286,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.8,1308,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.85,1334,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.9,1368,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.95,1420,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.975,1467,2021-03-29,forecast
1 wk ahead inc death,2021-04-03,DE,quantile,0.99,1524,2021-03-29,forecast
2 wk ahead inc case,2021-04-10,DE,quantile,0.01,103027,2021-03-29,forecast
2 wk ahead inc case,2021-04-10,DE,quantile,0.025,108443,2021-03-29,forecast
2 wk ahead inc case,2021-04-10,DE,quantile,0.05,113373,2021-03-29,forecast
2 wk ahead inc case,2021-04-10,DE,quantile,0.1,119389,2021-03-29,forecast
