location,type,quantile,target_end_date,forecast_date,target,scenario_id,value
FR,quantile,0.01,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,149299
FR,quantile,0.025,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,156524
FR,quantile,0.05,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,163018
FR,quantile,0.1,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,170840
FR,quantile,0.15,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,176328
FR,quantile,0.2,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,180816
FR,quantile,0.25,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,184756
FR,quantile,0.3,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,188368
FR,quantile,0.35,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,191778
FR,quantile,0.4,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,195071
FR,quantile,0.45,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,198311
FR,quantile,0.5,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,201552
FR,quantile,0.55,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,204846
FR,quantile,0.6,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,208248
FR,quantile,0.65,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,211823
FR,quantile,0.7,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,215658
FR,quantile,0.75,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,219874
FR,quantile,0.8,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,224666
FR,quantile,0.85,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,230384
FR,quantile,0.9,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,237785
FR,quantile,0.95,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,249194
FR,quantile,0.975,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,259533
FR,quantile,0.99,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,272093
FR,quantile,0.01,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,127539
FR,quantile,0.025,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,135934
FR,quantile,0.05,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,143596
FR,quantile,0.1,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,152966
FR,quantile,0.15,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,159631
FR,quantile,0.2,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,165135
FR,quantile,0.25,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,170008
FR,quantile,0.3,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,174506
FR,quantile,0.35,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,178781
FR,quantile,0.4,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,182934
FR,quantile,0.45,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,187044
FR,quantile,0.5,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,191178
FR,quantile,0.55,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,195404
FR,quantile,0.6,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,199794
FR,quantile,0.65,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,204435
FR,quantile,0.7,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,209443
FR,quantile,0.75,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,214985
FR,quantile,0.8,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,221329
FR,quantile,0.85,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,228960
FR,quantile,0.9,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,238936
FR,quantile,0.95,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,254528
FR,quantile,0.975,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,268873
FR,quantile,0.99,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,286572
FR,quantile,0.01,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,118619
FR,quantile,0.025,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,127450
FR,quantile,0.05,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,135570
FR,quantile,0.1,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,145576
FR,quantile,0.15,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,152740
FR,quantile,0.2,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,158685
FR,quantile,0.25,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,163969
FR,quantile,0.3,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,168865
FR,quantile,0.35,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,173531
FR,quantile,0.4,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,178078
FR,quantile,0.45,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,182591
FR,quantile,0.5,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,187144
FR,quantile,0.55,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,191811
FR,quantile,0.6,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,196672
FR,quantile,0.65,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,201825
FR,quantile,0.7,2021-05-15,2021-04-26,3 wk ahead inc case,forecast,207403
