location,type,quantile,target_end_date,target,scenario_id,value,forecast_date
GB,quantile,0.01,2021-06-05,1 wk ahead inc case,forecast,12508,2021-05-31
GB,quantile,0.025,2021-06-05,1 wk ahead inc case,forecast,13788,2021-05-31
GB,quantile,0.05,2021-06-05,1 wk ahead inc case,forecast,15052,2021-05-31
GB,quantile,0.1,2021-06-05,1 wk ahead inc case,forecast,16660,2021-05-31
GB,quantile,0.15,2021-06-05,1 wk ahead inc case,forecast,17853,2021-05-31
GB,quantile,0.2,2021-06-05,1 wk ahead inc case,forecast,18863,2021-05-31
GB,quantile,0.25,2021-06-05,1 wk ahead inc case,forecast,19732,2021-05-31
GB,quantile,0.3,2021-06-05,1 wk ahead inc case,forecast,20607,2021-05-31
GB,quantile,0.35,2021-06-05,1 wk ahead inc case,forecast,21420,2021-05-31
GB,quantile,0.4,2021-06-05,1 wk ahead inc case,forecast,22227,2021-05-31
GB,quantile,0.45,2021-06-05,1 wk ahead inc case,forecast,23050,2021-05-31
GB,quantile,0.5,2021-06-05,1 wk ahead inc case,forecast,23890,2021-05-31
GB,quantile,0.55,2021-06-05,1 wk ahead inc case,forecast,24758,2021-05-31
GB,quantile,0.6,2021-06-05,1 wk ahead inc case,forecast,25704,2021-05-31
GB,quantile,0.65,2021-06-05,1 wk ahead inc case,forecast,26714,2021-05-31
GB,quantile,0.7,2021-06-05,1 wk ahead inc case,forecast,27840,2021-05-31
GB,quantile,0.75,2021-06-05,1 wk ahead inc case,forecast,29135,2021-05-31
GB,quantile,0.8,2021-06-05,1 wk ahead inc case,forecast,30677,2021-05-31
GB,quantile,0.85,2021-06-05,1 wk ahead inc case,forecast,32635,2021-05-31
GB,quantile,0.9,2021-06-05,1 wk ahead inc case,forecast,35241,2021-05-31
GB,quantile,0.95,2021-06-05,1 wk ahead inc case,forecast,39702,2021-05-31
GB,quantile,0.975,2021-06-05,1 wk ahead inc case,forecast,44198,2021-05-31
GB,quantile,0.99,2021-06-05,1 wk ahead inc case,forecast,50177,2021-05-31
GB,quantile,0.01,2021-06-12,2 wk ahead inc case,forecast,13710,2021-05-31
GB,quantile,0.025,2021-06-12,2 wk ahead inc case,forecast,15506,2021-05-31
GB,quantile,0.05,2021-06-12,2 wk ahead inc case,forecast,17360,2021-05-31
GB,quantile,0.1,2021-06-12,2 wk ahead inc case,forecast,19728,2021-05-31
GB,quantile,0.15,2021-06-12,2 wk ahead inc case,forecast,21503,2021-05-31
GB,quantile,0.2,2021-06-12,2 wk ahead inc case,forecast,23007,2021-05-31
GB,quantile,0.25,2021-06-12,2 wk ahead inc case,forecast,24411,2021-05-31
