location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,NA,13550,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.01,10829,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.025,11221,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.05,11496,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.1,11934,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.15,12264,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.2,12472,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.25,12709,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.3,12950,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.35,13092,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.4,13255,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.45,13397,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.5,13550,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.55,13714,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.6,13891,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.65,14091,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.7,14302,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.75,14574,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.8,14854,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.85,15192,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.9,15652,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.95,16551,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.975,17232,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,quantile,0.99,18085,2021-04-24,2021-04-19,1 wk ahead inc case,forecast
AT,point,NA,11196,2021-05-01,2021-04-19,2 wk ahead inc case,forecast
AT,quantile,0.01,7724,2021-05-01,2021-04-19,2 wk ahead inc case,forecast
AT,quantile,0.025,8282,2021-05-01,2021-04-19,2 wk ahead inc case,forecast
AT,quantile,0.05,8666,2021-05-01,2021-04-19,2 wk ahead inc case,forecast
