location,target,type,quantile,target_end_date,forecast_date,value
DE,1 wk ahead inc case,point,NA,2021-06-19,2021-06-14,10298
DE,1 wk ahead inc case,quantile,0.01,2021-06-19,2021-06-14,4515
DE,1 wk ahead inc case,quantile,0.025,2021-06-19,2021-06-14,5067
DE,1 wk ahead inc case,quantile,0.05,2021-06-19,2021-06-14,5689
DE,1 wk ahead inc case,quantile,0.1,2021-06-19,2021-06-14,6558
DE,1 wk ahead inc case,quantile,0.15,2021-06-19,2021-06-14,7225
DE,1 wk ahead inc case,quantile,0.2,2021-06-19,2021-06-14,7723
DE,1 wk ahead inc case,quantile,0.25,2021-06-19,2021-06-14,8158
DE,1 wk ahead inc case,quantile,0.3,2021-06-19,2021-06-14,8584
DE,1 wk ahead inc case,quantile,0.35,2021-06-19,2021-06-14,9045
DE,1 wk ahead inc case,quantile,0.4,2021-06-19,2021-06-14,9451
DE,1 wk ahead inc case,quantile,0.45,2021-06-19,2021-06-14,9859
DE,1 wk ahead inc case,quantile,0.5,2021-06-19,2021-06-14,10298
DE,1 wk ahead inc case,quantile,0.55,2021-06-19,2021-06-14,10713
DE,1 wk ahead inc case,quantile,0.6,2021-06-19,2021-06-14,11193
DE,1 wk ahead inc case,quantile,0.65,2021-06-19,2021-06-14,11737
DE,1 wk ahead inc case,quantile,0.7,2021-06-19,2021-06-14,12307
DE,1 wk ahead inc case,quantile,0.75,2021-06-19,2021-06-14,12904
DE,1 wk ahead inc case,quantile,0.8,2021-06-19,2021-06-14,13656
DE,1 wk ahead inc case,quantile,0.85,2021-06-19,2021-06-14,14402
DE,1 wk ahead inc case,quantile,0.9,2021-06-19,2021-06-14,15644
DE,1 wk ahead inc case,quantile,0.95,2021-06-19,2021-06-14,17610
DE,1 wk ahead inc case,quantile,0.975,2021-06-19,2021-06-14,19622
DE,1 wk ahead inc case,quantile,0.99,2021-06-19,2021-06-14,21971
DE,1 wk ahead inc death,point,NA,2021-06-19,2021-06-14,349
DE,1 wk ahead inc death,quantile,0.01,2021-06-19,2021-06-14,195
DE,1 wk ahead inc death,quantile,0.025,2021-06-19,2021-06-14,215
DE,1 wk ahead inc death,quantile,0.05,2021-06-19,2021-06-14,238
DE,1 wk ahead inc death,quantile,0.1,2021-06-19,2021-06-14,259
DE,1 wk ahead inc death,quantile,0.15,2021-06-19,2021-06-14,275
DE,1 wk ahead inc death,quantile,0.2,2021-06-19,2021-06-14,288
DE,1 wk ahead inc death,quantile,0.25,2021-06-19,2021-06-14,300
DE,1 wk ahead inc death,quantile,0.3,2021-06-19,2021-06-14,310
DE,1 wk ahead inc death,quantile,0.35,2021-06-19,2021-06-14,318
DE,1 wk ahead inc death,quantile,0.4,2021-06-19,2021-06-14,331
DE,1 wk ahead inc death,quantile,0.45,2021-06-19,2021-06-14,340
DE,1 wk ahead inc death,quantile,0.5,2021-06-19,2021-06-14,349
DE,1 wk ahead inc death,quantile,0.55,2021-06-19,2021-06-14,361
DE,1 wk ahead inc death,quantile,0.6,2021-06-19,2021-06-14,372
DE,1 wk ahead inc death,quantile,0.65,2021-06-19,2021-06-14,384
DE,1 wk ahead inc death,quantile,0.7,2021-06-19,2021-06-14,396
DE,1 wk ahead inc death,quantile,0.75,2021-06-19,2021-06-14,409
DE,1 wk ahead inc death,quantile,0.8,2021-06-19,2021-06-14,426
DE,1 wk ahead inc death,quantile,0.85,2021-06-19,2021-06-14,443
DE,1 wk ahead inc death,quantile,0.9,2021-06-19,2021-06-14,467
DE,1 wk ahead inc death,quantile,0.95,2021-06-19,2021-06-14,506
DE,1 wk ahead inc death,quantile,0.975,2021-06-19,2021-06-14,548
DE,1 wk ahead inc death,quantile,0.99,2021-06-19,2021-06-14,608
DE,2 wk ahead inc case,point,NA,2021-06-26,2021-06-14,6844
DE,2 wk ahead inc case,quantile,0.01,2021-06-26,2021-06-14,2293
DE,2 wk ahead inc case,quantile,0.025,2021-06-26,2021-06-14,2865
DE,2 wk ahead inc case,quantile,0.05,2021-06-26,2021-06-14,3356
DE,2 wk ahead inc case,quantile,0.1,2021-06-26,2021-06-14,3930
DE,2 wk ahead inc case,quantile,0.15,2021-06-26,2021-06-14,4333
DE,2 wk ahead inc case,quantile,0.2,2021-06-26,2021-06-14,4675
DE,2 wk ahead inc case,quantile,0.25,2021-06-26,2021-06-14,5044
DE,2 wk ahead inc case,quantile,0.3,2021-06-26,2021-06-14,5412
DE,2 wk ahead inc case,quantile,0.35,2021-06-26,2021-06-14,5750
DE,2 wk ahead inc case,quantile,0.4,2021-06-26,2021-06-14,6119
DE,2 wk ahead inc case,quantile,0.45,2021-06-26,2021-06-14,6462
DE,2 wk ahead inc case,quantile,0.5,2021-06-26,2021-06-14,6844
DE,2 wk ahead inc case,quantile,0.55,2021-06-26,2021-06-14,7254
DE,2 wk ahead inc case,quantile,0.6,2021-06-26,2021-06-14,7629
DE,2 wk ahead inc case,quantile,0.65,2021-06-26,2021-06-14,8065
DE,2 wk ahead inc case,quantile,0.7,2021-06-26,2021-06-14,8633
DE,2 wk ahead inc case,quantile,0.75,2021-06-26,2021-06-14,9147
DE,2 wk ahead inc case,quantile,0.8,2021-06-26,2021-06-14,9767
DE,2 wk ahead inc case,quantile,0.85,2021-06-26,2021-06-14,10529
DE,2 wk ahead inc case,quantile,0.9,2021-06-26,2021-06-14,11777
DE,2 wk ahead inc case,quantile,0.95,2021-06-26,2021-06-14,13838
DE,2 wk ahead inc case,quantile,0.975,2021-06-26,2021-06-14,15424
DE,2 wk ahead inc case,quantile,0.99,2021-06-26,2021-06-14,17243
DE,2 wk ahead inc death,point,NA,2021-06-26,2021-06-14,234
DE,2 wk ahead inc death,quantile,0.01,2021-06-26,2021-06-14,120
DE,2 wk ahead inc death,quantile,0.025,2021-06-26,2021-06-14,137
DE,2 wk ahead inc death,quantile,0.05,2021-06-26,2021-06-14,152
DE,2 wk ahead inc death,quantile,0.1,2021-06-26,2021-06-14,169
DE,2 wk ahead inc death,quantile,0.15,2021-06-26,2021-06-14,180
DE,2 wk ahead inc death,quantile,0.2,2021-06-26,2021-06-14,190
DE,2 wk ahead inc death,quantile,0.25,2021-06-26,2021-06-14,198
DE,2 wk ahead inc death,quantile,0.3,2021-06-26,2021-06-14,206
DE,2 wk ahead inc death,quantile,0.35,2021-06-26,2021-06-14,214
DE,2 wk ahead inc death,quantile,0.4,2021-06-26,2021-06-14,220
DE,2 wk ahead inc death,quantile,0.45,2021-06-26,2021-06-14,227
DE,2 wk ahead inc death,quantile,0.5,2021-06-26,2021-06-14,234
DE,2 wk ahead inc death,quantile,0.55,2021-06-26,2021-06-14,240
DE,2 wk ahead inc death,quantile,0.6,2021-06-26,2021-06-14,248
DE,2 wk ahead inc death,quantile,0.65,2021-06-26,2021-06-14,256
DE,2 wk ahead inc death,quantile,0.7,2021-06-26,2021-06-14,264
DE,2 wk ahead inc death,quantile,0.75,2021-06-26,2021-06-14,275
DE,2 wk ahead inc death,quantile,0.8,2021-06-26,2021-06-14,286
DE,2 wk ahead inc death,quantile,0.85,2021-06-26,2021-06-14,304
DE,2 wk ahead inc death,quantile,0.9,2021-06-26,2021-06-14,322
DE,2 wk ahead inc death,quantile,0.95,2021-06-26,2021-06-14,354
DE,2 wk ahead inc death,quantile,0.975,2021-06-26,2021-06-14,384
DE,2 wk ahead inc death,quantile,0.99,2021-06-26,2021-06-14,423
DE,3 wk ahead inc case,point,NA,2021-07-03,2021-06-14,4809
DE,3 wk ahead inc case,quantile,0.01,2021-07-03,2021-06-14,1386
DE,3 wk ahead inc case,quantile,0.025,2021-07-03,2021-06-14,1651
DE,3 wk ahead inc case,quantile,0.05,2021-07-03,2021-06-14,1892
DE,3 wk ahead inc case,quantile,0.1,2021-07-03,2021-06-14,2356
DE,3 wk ahead inc case,quantile,0.15,2021-07-03,2021-06-14,2742
DE,3 wk ahead inc case,quantile,0.2,2021-07-03,2021-06-14,3006
DE,3 wk ahead inc case,quantile,0.25,2021-07-03,2021-06-14,3321
DE,3 wk ahead inc case,quantile,0.3,2021-07-03,2021-06-14,3626
DE,3 wk ahead inc case,quantile,0.35,2021-07-03,2021-06-14,3950
DE,3 wk ahead inc case,quantile,0.4,2021-07-03,2021-06-14,4235
DE,3 wk ahead inc case,quantile,0.45,2021-07-03,2021-06-14,4507
DE,3 wk ahead inc case,quantile,0.5,2021-07-03,2021-06-14,4809
DE,3 wk ahead inc case,quantile,0.55,2021-07-03,2021-06-14,5118
DE,3 wk ahead inc case,quantile,0.6,2021-07-03,2021-06-14,5466
DE,3 wk ahead inc case,quantile,0.65,2021-07-03,2021-06-14,5866
DE,3 wk ahead inc case,quantile,0.7,2021-07-03,2021-06-14,6324
DE,3 wk ahead inc case,quantile,0.75,2021-07-03,2021-06-14,6986
DE,3 wk ahead inc case,quantile,0.8,2021-07-03,2021-06-14,7640
DE,3 wk ahead inc case,quantile,0.85,2021-07-03,2021-06-14,8485
DE,3 wk ahead inc case,quantile,0.9,2021-07-03,2021-06-14,9806
DE,3 wk ahead inc case,quantile,0.95,2021-07-03,2021-06-14,11868
DE,3 wk ahead inc case,quantile,0.975,2021-07-03,2021-06-14,14038
DE,3 wk ahead inc case,quantile,0.99,2021-07-03,2021-06-14,17185
DE,3 wk ahead inc death,point,NA,2021-07-03,2021-06-14,159
DE,3 wk ahead inc death,quantile,0.01,2021-07-03,2021-06-14,73
DE,3 wk ahead inc death,quantile,0.025,2021-07-03,2021-06-14,84
DE,3 wk ahead inc death,quantile,0.05,2021-07-03,2021-06-14,94
DE,3 wk ahead inc death,quantile,0.1,2021-07-03,2021-06-14,106
DE,3 wk ahead inc death,quantile,0.15,2021-07-03,2021-06-14,116
DE,3 wk ahead inc death,quantile,0.2,2021-07-03,2021-06-14,123
DE,3 wk ahead inc death,quantile,0.25,2021-07-03,2021-06-14,130
DE,3 wk ahead inc death,quantile,0.3,2021-07-03,2021-06-14,136
DE,3 wk ahead inc death,quantile,0.35,2021-07-03,2021-06-14,142
DE,3 wk ahead inc death,quantile,0.4,2021-07-03,2021-06-14,147
DE,3 wk ahead inc death,quantile,0.45,2021-07-03,2021-06-14,154
DE,3 wk ahead inc death,quantile,0.5,2021-07-03,2021-06-14,159
DE,3 wk ahead inc death,quantile,0.55,2021-07-03,2021-06-14,164
DE,3 wk ahead inc death,quantile,0.6,2021-07-03,2021-06-14,171
DE,3 wk ahead inc death,quantile,0.65,2021-07-03,2021-06-14,178
DE,3 wk ahead inc death,quantile,0.7,2021-07-03,2021-06-14,186
DE,3 wk ahead inc death,quantile,0.75,2021-07-03,2021-06-14,194
DE,3 wk ahead inc death,quantile,0.8,2021-07-03,2021-06-14,204
