location,target,type,quantile,target_end_date,forecast_date,scenario_id,value
AT,1 wk ahead inc case,point,,2021-08-07,2021-08-02,forecast,1354
AT,1 wk ahead inc case,quantile,0.01,2021-08-07,2021-08-02,forecast,1007
AT,1 wk ahead inc case,quantile,0.025,2021-08-07,2021-08-02,forecast,1068
AT,1 wk ahead inc case,quantile,0.05,2021-08-07,2021-08-02,forecast,1113
AT,1 wk ahead inc case,quantile,0.1,2021-08-07,2021-08-02,forecast,1161
AT,1 wk ahead inc case,quantile,0.15,2021-08-07,2021-08-02,forecast,1194
AT,1 wk ahead inc case,quantile,0.2,2021-08-07,2021-08-02,forecast,1219
AT,1 wk ahead inc case,quantile,0.25,2021-08-07,2021-08-02,forecast,1241
AT,1 wk ahead inc case,quantile,0.3,2021-08-07,2021-08-02,forecast,1265
AT,1 wk ahead inc case,quantile,0.35,2021-08-07,2021-08-02,forecast,1287
AT,1 wk ahead inc case,quantile,0.4,2021-08-07,2021-08-02,forecast,1312
AT,1 wk ahead inc case,quantile,0.45,2021-08-07,2021-08-02,forecast,1331
AT,1 wk ahead inc case,quantile,0.5,2021-08-07,2021-08-02,forecast,1354
AT,1 wk ahead inc case,quantile,0.55,2021-08-07,2021-08-02,forecast,1376
AT,1 wk ahead inc case,quantile,0.6,2021-08-07,2021-08-02,forecast,1395
AT,1 wk ahead inc case,quantile,0.65,2021-08-07,2021-08-02,forecast,1418
AT,1 wk ahead inc case,quantile,0.7,2021-08-07,2021-08-02,forecast,1445
AT,1 wk ahead inc case,quantile,0.75,2021-08-07,2021-08-02,forecast,1475
AT,1 wk ahead inc case,quantile,0.8,2021-08-07,2021-08-02,forecast,1504
AT,1 wk ahead inc case,quantile,0.85,2021-08-07,2021-08-02,forecast,1536
AT,1 wk ahead inc case,quantile,0.9,2021-08-07,2021-08-02,forecast,1582
AT,1 wk ahead inc case,quantile,0.95,2021-08-07,2021-08-02,forecast,1651
AT,1 wk ahead inc case,quantile,0.975,2021-08-07,2021-08-02,forecast,1712
AT,1 wk ahead inc case,quantile,0.99,2021-08-07,2021-08-02,forecast,1815
AT,1 wk ahead inc death,point,,2021-08-07,2021-08-02,forecast,15
AT,1 wk ahead inc death,quantile,0.01,2021-08-07,2021-08-02,forecast,3
AT,1 wk ahead inc death,quantile,0.025,2021-08-07,2021-08-02,forecast,4
AT,1 wk ahead inc death,quantile,0.05,2021-08-07,2021-08-02,forecast,5
AT,1 wk ahead inc death,quantile,0.1,2021-08-07,2021-08-02,forecast,7
AT,1 wk ahead inc death,quantile,0.15,2021-08-07,2021-08-02,forecast,8
AT,1 wk ahead inc death,quantile,0.2,2021-08-07,2021-08-02,forecast,9
AT,1 wk ahead inc death,quantile,0.25,2021-08-07,2021-08-02,forecast,10
AT,1 wk ahead inc death,quantile,0.3,2021-08-07,2021-08-02,forecast,11
AT,1 wk ahead inc death,quantile,0.35,2021-08-07,2021-08-02,forecast,12
AT,1 wk ahead inc death,quantile,0.4,2021-08-07,2021-08-02,forecast,13
AT,1 wk ahead inc death,quantile,0.45,2021-08-07,2021-08-02,forecast,14
AT,1 wk ahead inc death,quantile,0.5,2021-08-07,2021-08-02,forecast,15
AT,1 wk ahead inc death,quantile,0.55,2021-08-07,2021-08-02,forecast,16
AT,1 wk ahead inc death,quantile,0.6,2021-08-07,2021-08-02,forecast,17
