target,target_end_date,location,type,quantile,value,forecast_date,scenario_id
1 wk ahead inc case,2021-06-05,DE,quantile,0.01,12935.9737634926,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.025,14087.9980974936,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.05,15189.6584723304,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.1,16603.8313348758,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.15,17655.2548546081,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.2,18552.4288966778,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.25,19368.846263067,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.3,20141.1320193017,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.35,20891.6897784261,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.4,21636.5845383522,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.45,22389.0822538177,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.5,23161.6566666667,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.55,23967.4873330767,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.6,24821.9817224061,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.65,25744.7973511183,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.7,26763.0895906876,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.75,27917.5023115154,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.8,29274.7397839971,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.85,30958.423072775,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.9,33244.5193676863,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.95,37012.7378031044,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.975,40693.4142446138,2021-05-31,forecast
1 wk ahead inc case,2021-06-05,DE,quantile,0.99,45521.8079487245,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.01,609.382134885007,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.025,638.731845774017,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.05,665.222931575666,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.1,697.279260543684,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.15,719.869067554522,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.2,738.399206857887,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.25,754.716601724859,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.3,769.709957649861,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.35,783.897652913324,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.4,797.627936492213,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.45,811.165461666571,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.5,824.736666666667,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.55,838.559259829668,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.6,852.867330068246,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.65,867.940078149091,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.7,884.143952556521,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.75,902.006745715106,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.8,922.368945659217,2021-05-31,forecast
1 wk ahead inc death,2021-06-05,DE,quantile,0.85,946.747821463067,2021-05-31,forecast
