"location","type","quantile","value","target_end_date","forecast_date","target","scenario_id"
"DE","point",NA,2232,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.01,1797,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.025,1824,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.05,1855,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.1,1912,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.15,1957,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.2,2006,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.25,2043,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.3,2086,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.35,2126,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.4,2165,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.45,2200,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.5,2232,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.55,2271,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.6,2317,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.65,2364,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.7,2404,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.75,2466,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.8,2525,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.85,2582,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.9,2664,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.95,2750,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.975,2812,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","quantile",0.99,2836,"2021-02-27","2021-02-22","1 wk ahead inc death","forecast"
"DE","point",NA,1763,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.01,1206,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.025,1232,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.05,1274,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.1,1350,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.15,1405,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.2,1464,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.25,1519,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.3,1568,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.35,1610,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.4,1657,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.45,1712,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.5,1763,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.55,1816,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.6,1885,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.65,1946,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.7,2009,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.75,2082,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.8,2159,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.85,2240,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.9,2353,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.95,2537,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.975,2643,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","quantile",0.99,2703,"2021-03-06","2021-02-22","2 wk ahead inc death","forecast"
"DE","point",NA,1381,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.01,777,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.025,799,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.05,826,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.1,907,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.15,979,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.2,1027,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.25,1094,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.3,1143,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.35,1189,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.4,1251,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.45,1314,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.5,1381,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.55,1459,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.6,1530,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.65,1607,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.7,1694,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.75,1784,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.8,1880,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.85,1998,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.9,2180,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.95,2391,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.975,2545,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","quantile",0.99,2640,"2021-03-13","2021-02-22","3 wk ahead inc death","forecast"
"DE","point",NA,1071,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.01,471,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.025,491,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.05,527,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.1,588,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.15,645,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.2,706,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.25,772,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.3,840,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.35,895,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.4,937,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.45,1002,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.5,1071,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.55,1143,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.6,1244,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.65,1327,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.7,1416,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.75,1527,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.8,1660,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.85,1789,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.9,2024,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.95,2320,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.975,2529,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","quantile",0.99,2699,"2021-03-20","2021-02-22","4 wk ahead inc death","forecast"
"DE","point",NA,56872,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.01,44028,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.025,44598,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.05,45401,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.1,46677,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.15,48117,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.2,49206,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.25,50423,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.3,51919,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.35,53173,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.4,54306,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.45,55278,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.5,56872,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.55,58224,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.6,59582,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.65,61413,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.7,63302,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.75,65267,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.8,67381,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.85,69612,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.9,72409,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.95,76568,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.975,78562,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","quantile",0.99,79813,"2021-02-27","2021-02-22","1 wk ahead inc case","forecast"
"DE","point",NA,67040,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.01,40244,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.025,40731,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.05,42567,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.1,44763,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.15,47309,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.2,49421,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.25,52116,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.3,54890,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.35,57799,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.4,60662,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.45,64175,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.5,67040,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.55,71196,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.6,75041,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.65,79504,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.7,84925,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.75,90984,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.8,99706,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.85,110096,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.9,119790,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.95,134910,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.975,144441,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","quantile",0.99,150329,"2021-03-06","2021-02-22","2 wk ahead inc case","forecast"
"DE","point",NA,79924,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.01,35367,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.025,36497,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.05,38096,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.1,42238,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.15,45894,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
"DE","quantile",0.2,49335,"2021-03-13","2021-02-22","3 wk ahead inc case","forecast"
