location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,,20626,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.01,18603,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.025,18759,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.05,18923,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.1,19218,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.15,19428,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.2,19662,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.25,19819,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.3,19960,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.35,20132,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.4,20287,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.45,20465,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.5,20626,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.55,20750,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.6,20919,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.65,21054,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.7,21206,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.75,21400,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.8,21592,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.85,21811,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.9,22057,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.95,22384,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.975,22616,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,quantile,0.99,22792,2021-03-20,2021-03-15,1 wk ahead inc case,forecast
AT,point,,23220,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.01,19098,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.025,19376,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.05,19759,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.1,20332,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.15,20773,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.2,21172,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.25,21603,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.3,21903,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.35,22227,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.4,22547,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.45,22867,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.5,23220,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.55,23575,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.6,23966,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.65,24288,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.7,24681,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.75,25060,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.8,25509,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.85,26045,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.9,26634,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.95,27350,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.975,27906.5,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,quantile,0.99,28371,2021-03-27,2021-03-15,2 wk ahead inc case,forecast
AT,point,,25896,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.01,18226,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.025,18666,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.05,19242,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.1,20304,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.15,21176,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.2,21926,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.25,22668,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.3,23326,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.35,24001,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.4,24599,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.45,25274,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.5,25896,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.55,26646,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.6,27216,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.65,27888,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.7,28717,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.75,29558,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.8,30531,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.85,31813,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.9,33249,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.95,34925,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.975,36164.5,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,quantile,0.99,37168,2021-04-03,2021-03-15,3 wk ahead inc case,forecast
AT,point,,27910,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.01,16760,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.025,17328,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.05,18374,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.1,19820,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.15,20957,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.2,22028,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.25,23126,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.3,24053,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
AT,quantile,0.35,24972,2021-04-10,2021-03-15,4 wk ahead inc case,forecast
