location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
DE,point,,1867.5,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.01,1317.88,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.025,1395.925,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.05,1464.95,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.1,1554.7,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.15,1628.4,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.2,1675.8,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.25,1710.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.3,1740.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.35,1771.65,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.4,1799.6,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.45,1830.55,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.5,1867.5,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.55,1892.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.6,1921.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.65,1951.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.7,1977.3,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.75,2007.75,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.8,2041.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.85,2085.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.9,2164.3,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.95,2267.1,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.975,2358.0,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,quantile,0.99,2466.01,2021-05-08,2021-05-03,1 wk ahead inc death,forecast
DE,point,,1762.0,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.01,972.99,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.025,1061.975,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.05,1192.0,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.1,1315.9,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.15,1394.4,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.2,1477.6,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
DE,quantile,0.25,1538.75,2021-05-15,2021-05-03,2 wk ahead inc death,forecast
